	artist_id
4115	36030
368	30851
245	24704
54	19792
27	19727
402	18340
227	18339
46	17847
153	17250
301	16273
1648	16002
283	15919
55	15831
470	15532
4171	15375
347	15229
691	14659
1602	14630
137	14339
45	14261
105	14069
438	13131
320	13015
135	12699
1705	12558
8852	12063
4207	11694
4081	11645
466	11575
3	11556
99	11351
9718	11075
79	10565
3026	10545
471	10355
499	10179
924	9973
163	9942
139	9885
1677	9765
114	9505
279	9438
185	9342
8988	9214
4206	9180
2868	9156
6872	8775
1666	8677
248	8671
266	8571
13243	8373
141	8286
140	8173
461	8153
71	8141
13874	8088
2539	8048
5215	7737
171	7495
987	7492
425	7472
32	7463
330	7384
12986	7374
4672	7329
1092	7191
2758	7156
406	7085
20292	7039
172	7014
686	6968
978	6937
57	6876
295	6809
578	6729
504	6557
14141	6534
4118	6532
1703	6376
13066	6317
4035	6311
132	6300
1339	6287
20129	6285
28	6260
85	6236
10004	6188
1650	6115
2590	6055
5619	5983
9347	5968
28945	5962
13750	5923
405	5863
22	5812
7904	5779
16	5734
329	5730
249	5660
3387	5650
9716	5640
60024	5620
3954	5600
9625	5575
4091	5528
4377	5455
326	5383
10306	5320
9550	5282
360	5262
353	5239
17	5189
4038	5164
2694	5117
129	5107
2570	5065
3960	5038
1426	5019
9637	5007
3744	4981
3909	4972
6852	4957
2923	4915
14427	4889
2824	4758
19744	4755
13253	4731
13719	4722
29089	4674
355	4653
82	4611
22923	4586
1900	4545
1483	4512
238	4493
40609	4493
3031	4491
482	4471
148	4471
2266	4447
3138	4395
374	4394
2353	4375
14806	4370
14208	4332
1626	4301
3732	4282
16900	4153
3424	4137
93	4132
48440	4126
872	4122
2558	4110
2474	4106
9	4089
15093	4077
3841	4042
2563	4013
2354	3984
3199	3959
182	3940
46647	3930
424	3930
5175	3896
689	3880
192	3844
3837	3828
2988	3820
12959	3816
2267	3811
1358	3811
4	3799
1	3792
6868	3789
9557	3741
14225	3691
39	3679
14596	3660
2487	3648
1700	3626
840	3607
1793	3596
7984	3576
178	3571
8891	3567
19681	3526
8773	3488
42074	3448
4117	3435
43	3401
25	3399
1807	3399
7330	3397
384	3378
3268	3339
290	3320
1873	3312
2123	3309
5465	3295
9178	3289
2478	3266
48678	3261
1687	3240
64	3196
11033	3191
4719	3172
56	3168
2907	3164
9334	3128
3059	3108
1871	3104
13556	3090
4005	3078
169	3076
365	3076
4134	3072
9037	3026
3253	3018
7487	3014
2436	3003
4624	2999
13	2993
35597	2981
125352	2969
2603	2966
1514	2921
10028	2916
4273	2907
14167	2904
379	2881
14008	2873
4398	2871
3415	2869
13327	2850
3727	2841
115	2841
15003	2827
2789	2814
29341	2786
44	2780
4696	2758
453	2752
521	2751
3113	2739
13285	2730
8040	2723
14480	2719
272	2715
15053	2691
3263	2690
136	2685
9477	2654
489478	2647
8821	2632
6395	2629
7	2617
4006	2607
7959	2599
15155	2589
37	2585
2588	2578
697	2578
16888	2573
2697	2568
8890	2550
722	2531
4310	2527
29	2523
67	2518
5608	2517
34535	2514
383	2504
2937	2500
8010	2494
10522	2489
2362	2488
5190	2443
22976	2441
16197	2436
4083	2434
1760	2432
14365	2431
1935	2413
5842	2411
23817	2409
190	2408
1651	2405
520	2403
10006	2399
794	2394
85510	2391
281	2383
13194	2381
1664	2380
844	2375
48618	2364
59	2352
2716	2350
6773	2339
9642	2335
2748	2331
11254	2325
16752	2321
17503	2317
9845	2317
4249	2304
3975	2293
2173	2291
3079	2281
4482	2267
26713	2267
16889	2252
2596	2240
3120	2239
3085	2231
29246	2231
6375	2209
48380	2206
18273	2200
1268	2200
9512	2198
1696	2175
7333	2172
515	2170
1421	2156
609	2154
333521	2146
1690	2142
9804	2136
2554	2130
9529	2125
4112	2118
5785	2113
2549	2110
100364	2106
15649	2102
35616	2098
2030	2089
9620	2086
2768	2082
6262	2080
9683	2080
3200	2074
77221	2073
8853	2070
3019	2056
184	2054
5504	2051
3999	2049
3887	2048
15236	2034
9868	2034
2029	2021
5041	2018
7255	2016
1894	2001
13075	1999
13301	1994
10023	1993
4111	1986
41086	1968
4126	1966
576	1961
10582	1959
1763	1958
222	1953
6004	1951
4250	1943
6234	1941
43624	1930
306	1924
52	1923
2656	1921
68076	1916
10705	1915
2443	1914
53068	1912
7989	1909
103811	1905
3915	1895
2442	1893
5129	1889
4941	1879
57393	1877
3916	1861
1459	1856
9511	1851
7900	1851
4567	1848
7663	1847
8	1843
362	1837
15624	1836
210	1835
501	1827
263	1826
22962	1822
30001	1813
36915	1809
3327	1790
19202	1781
3377	1781
8671	1780
3137	1779
34223	1778
4942	1769
259	1768
40079	1759
494	1755
2562	1752
57128	1751
212973	1746
567	1746
51	1734
289	1733
3131	1731
5194	1730
7990	1726
2986	1726
44311	1726
34028	1716
69	1709
16707	1708
473	1707
9064	1704
10024	1704
3721	1700
29104	1694
2586	1694
29410	1691
146	1689
57419	1683
634	1682
23182	1679
6270	1671
15520	1671
10526	1668
16882	1658
9340	1655
543	1654
2730	1638
29513	1636
2866	1635
9693	1627
3129	1625
495	1619
2583	1617
38	1616
10287	1611
13287	1611
400	1608
1144	1604
13715	1602
13312	1600
113	1594
2073	1591
67678	1584
6393	1583
21587	1582
1671	1580
20031	1577
22637	1574
5211	1574
9629	1569
2729	1563
48427	1563
29204	1557
198	1557
240	1551
14082	1549
52909	1539
2567	1537
14088	1537
677	1535
4092	1530
12978	1527
10539	1526
1961	1524
7488	1520
2333	1519
220	1519
188	1513
3013	1512
33915	1510
2993	1510
2733	1509
248423	1502
6108	1501
255	1497
445	1496
8775	1495
128	1492
62	1492
6779	1492
2613	1492
1670	1483
92	1481
22835	1480
13062	1477
34917	1477
15098	1476
86	1476
22804	1475
38556	1475
314	1474
10716	1473
2437	1472
4343	1471
5192	1461
3722	1459
130385	1458
3044	1458
18224	1455
3151	1454
2508	1446
23831	1443
14783	1443
3895	1439
26844	1431
4614	1422
3588	1421
13351	1419
10338	1417
70686	1417
22603	1417
16542	1414
28973	1410
3940	1408
17444	1408
1990	1408
1999	1405
14305	1405
489	1399
28656	1398
629	1398
49091	1397
3311	1395
4985	1386
4370	1385
16428	1378
9588	1374
6795	1369
10183	1367
6040	1366
2705	1365
7396	1364
3690	1363
3130	1362
9147	1361
54091	1356
239	1356
200	1352
367	1350
11266	1350
3316	1349
676	1346
3318	1341
13036	1340
145	1340
13197	1339
2726	1337
4558	1327
13624	1320
422	1310
13310	1304
26747	1304
1312	1302
7489	1300
2111	1297
9969	1295
509	1289
19063	1288
12603	1288
9313	1284
15780	1282
9487	1281
15000	1279
12151	1278
14133	1278
8389	1277
20934	1276
275	1273
2093	1272
2828	1270
1366	1268
493	1268
15830	1263
12982	1256
4276	1255
71222	1253
409	1251
12239	1250
1991	1249
48029	1246
14138	1244
22648	1244
1701	1241
2214	1241
4056	1236
110	1235
13317	1233
96	1231
432	1230
2782	1229
4366	1227
3313	1222
42460	1216
12963	1215
7307	1211
475	1210
15949	1208
4170	1207
308	1207
13591	1206
2846	1206
95	1206
2799	1204
2863	1202
9169	1201
1998	1196
8664	1196
40604	1196
2890	1189
6399	1187
316	1186
4309	1186
21560	1181
38573	1179
16362	1171
22840	1168
29122	1163
29203	1162
4965	1158
4082	1158
14134	1152
869	1149
4183	1149
9698	1149
3336	1148
10179	1148
2648	1148
7301	1147
631	1146
9787	1146
13228	1144
6860	1140
2552	1133
811	1133
77520	1131
3103	1129
35475	1129
7317	1128
89950	1125
66021	1122
33908	1119
48675	1118
9720	1117
507	1117
1708	1116
9952	1116
3010	1114
28688	1111
4307	1110
6067	1109
8996	1107
550	1103
5574	1102
127	1100
211	1098
15268	1097
2322	1097
8696	1095
13037	1092
2689	1090
15	1090
23171	1089
991	1084
13238	1082
13119	1082
17668	1081
4726	1077
4181	1074
2932	1073
124231	1072
15642	1072
29535	1070
186	1069
1680	1067
52232	1066
634932	1065
4311	1064
13500	1063
436	1058
319	1058
29137	1056
7256	1056
9903	1055
218779	1054
4166	1053
4603	1051
179	1048
17128	1047
11732	1046
530	1045
65403	1044
9494	1044
34228	1041
29147	1041
18278	1040
18857	1032
5778	1029
34569	1027
40725	1027
18851	1026
4475	1025
6421	1024
27188	1019
508	1016
41458	1016
7306	1016
429	1016
10000	1011
49718	1010
70331	1009
7463	1007
9126	1007
40339	1006
28156	1006
810	1002
26030	997
3782	997
8933	997
6230	996
69470	995
6861	995
7492	994
13364	993
14483	991
4609	990
350	989
12968	989
9910	988
13787	987
75	984
10309	984
10566	983
3560	981
36378	981
7139	981
31507	977
120083	977
8876	973
19656	973
27857	972
3241	970
17344	970
51732	969
3724	969
6334	968
1825	966
15914	965
44866	965
3312	963
12987	963
28818	962
2762	958
23912	957
3751	956
51514	956
19794	954
15385	949
3853	947
46747	946
14825	943
6799	940
839	935
2849	934
43065	934
282	933
196	932
34800	932
7838	931
12156	929
