	artist_id
368	3755
1671	3450
3546	3254
5305	2814
6031	2722
7582	2372
351	2190
131	2180
48	2072
379	2044
16	2011
2999	1825
3445	1708
1681	1692
74	1587
3716	1535
10611	1473
54	1440
5031	1434
2821	1417
36567	1398
43287	1391
238	1367
90166	1339
8030	1335
10617	1299
2943	1296
295	1269
259	1259
869	1247
1338	1246
140	1212
66	1204
2111	1194
2974	1193
17821	1190
2673	1184
1825	1183
1696	1176
676	1163
38	1159
844	1147
3887	1139
12901	1126
39597	1125
196651	1071
2865	1069
2968	1067
10	1056
8587	1053
420	1052
499	1037
350	1032
4564	1027
16018	1020
279	1009
43297	999
320	983
31502	973
7291	968
417	964
266	961
290	959
31338	955
2950	951
5717	944
4350	941
11759	928
3565	927
722	925
162	918
4855	904
2945	900
5749	879
4360	872
20731	869
391	866
24292	864
3149	860
2966	855
489	843
2101	843
103679	839
8231	837
6943	827
3515	820
177	820
4359	816
3153	815
51461	812
122	812
6335	811
245	808
424	806
93	801
283	796
13476	795
2616	794
704	779
9832	779
277	773
3268	764
709	759
208	753
10537	749
9601	747
2949	745
43708	744
1358	743
1602	740
27637	735
493	734
272	733
46	732
185	731
2732	728
304	728
39598	728
2932	724
1774	724
276	723
2072	722
3812	721
25369	721
120	721
6138	708
2933	706
8593	706
152	701
6904	700
2562	695
1651	688
27435	687
16295	685
145	684
6130	682
3098	680
20284	679
64	679
3346	670
2914	664
2930	662
2556	662
2539	661
1649	652
1760	647
8126	643
2954	643
336	642
16307	639
372	636
4659	634
329	633
280	633
8957	632
694	623
5040	619
309784	617
3345	616
43809	615
226	614
5596	613
2683	607
2442	606
2791	606
5842	599
15914	598
9741	594
5109	593
2113	588
5566	588
8068	587
16681	586
48790	584
11	583
12263	581
8583	580
2559	578
8163	577
39606	575
153	573
87010	565
4905	564
99731	559
15520	557
104931	556
60361	556
48810	555
18763	555
3	553
88109	553
15113	552
48984	552
8238	551
16478	551
2983	550
465	548
30154	547
51027	545
2989	545
4379	540
2980	540
515	540
308	540
20934	539
20215	539
1522	538
1793	536
6442	530
27953	529
1517	528
4380	526
21752	526
27840	525
104886	524
2646	521
29227	520
5719	520
39387	520
2253	518
11180	518
504	517
6167	516
3854	515
4083	514
43129	508
1056143	505
12152	504
148	503
4435	502
402	500
509	499
3037	497
5528	493
1518	492
223	490
5107	490
10480	488
15995	485
4391	485
6261	484
316844	484
4895	483
9724	479
8239	478
135	475
2127	474
2851	474
3744	474
2257	473
15985	472
159422	468
2925	467
85	467
75895	467
8079	466
4010	465
991	463
6263	463
289	463
4879	459
2102	458
23718	458
3593	458
2251	457
77	455
1708	454
8582	454
1792	452
3344	452
7197	452
75	451
39633	451
2959	450
33592	450
2611	447
2558	447
149	442
4890	441
21905	437
9766	435
16825	434
50838	433
17148	433
9773	429
7016	429
3784	428
359	426
3136	426
16244	423
18108	420
21749	420
27927	420
222478	420
12590	418
42837	418
2990	417
2952	417
708	415
74569	415
19658	415
2992	412
67086	409
729	409
1536	408
5946	405
1317	404
3045	403
206729	402
17225	401
1914	401
103796	400
39622	399
244	398
692	398
8227	397
8186	397
6421	395
406	394
2726	394
5609	392
10093	389
1519	388
2684	388
1521	387
5349	385
27378	385
167511	384
7556	384
6947	383
565722	382
3599	382
1756	382
24347	378
9838	378
2762	373
502	372
118593	371
679	371
39666	371
3046	370
4401	370
39496	368
7129	367
6710	366
299	362
8586	362
83855	361
4726	361
8229	360
6241	360
190	360
