	artist_id
368	111476
4115	102853
54	101399
55	91564
153	90043
470	88401
301	88300
402	84290
1602	79594
27	78634
137	72324
46	69727
227	62540
3	62069
1648	59740
135	59302
438	58527
8852	58154
320	57087
1339	54860
139	54744
172	54729
171	54336
924	52864
6872	52193
105	52080
245	51999
3026	50344
4171	49712
471	47849
283	47251
266	46924
1426	46068
1677	45623
32	45306
1705	44461
279	44413
4081	43809
3915	43642
691	43219
355	42585
249	42228
99	41840
3732	41127
140	40702
6852	40438
504	40120
248	40076
141	39176
185	37890
689	37727
4207	37719
499	37625
25	37241
360	37221
7904	36875
2758	36056
2988	36035
330	35883
353	35314
13243	34583
1092	33911
28	33292
57	33165
132	33055
8	32876
2868	32810
16	32689
347	31606
1	31398
129	31268
1514	31237
379	31218
9178	31009
79	30484
8988	30335
425	30329
4377	30129
295	30015
4091	29521
10522	29367
85	29279
406	29238
13	29061
7	28943
2539	28880
9716	28788
19681	28748
1358	28729
461	28723
5619	28633
4206	28522
1666	28421
238	28381
114	28361
4482	28354
163	27856
14528	27317
3744	26986
4112	26902
71	26528
3138	25942
43	25807
9718	25789
8891	25277
3909	25049
686	25043
872	24882
1703	24794
9637	24677
14480	24576
45	24546
93	24528
56	24515
8039	24503
362	24404
4118	24391
1935	24362
148	24059
4035	23779
2923	23613
9550	23611
12986	23444
365	23156
10028	23032
424	22883
289	22792
2353	22443
4	22428
166	22300
840	22267
67	22050
13719	21997
12959	21665
1651	21501
6004	21489
59	21425
3327	21380
3031	21268
69	20828
1807	20481
384	20328
34175	20315
82	20230
6395	20166
2590	19817
374	19774
2986	19692
60024	19338
29	19265
10004	19200
243	19176
13715	19158
1793	19142
4398	19091
13253	19053
9903	19039
5818	19011
508	19009
1696	18990
5215	18551
13874	18522
6868	18510
2558	18462
4083	18453
2487	18442
14141	18439
13066	18337
8890	18288
4624	18114
3013	18036
2824	17987
3137	17976
978	17947
44	17885
326	17843
350	17836
5608	17647
10582	17552
9064	17537
52	17467
51	17439
13194	17261
89	17220
520	17158
8773	17059
429	16975
3199	16971
5175	16820
1650	16783
4672	16777
2570	16720
6773	16608
36766	16594
2267	16541
3129	16522
4134	16493
445	16455
1671	16402
2442	16313
192	16300
14008	16205
2030	16063
145	16003
1421	15990
4038	15972
3263	15926
9868	15714
13285	15692
2029	15660
15098	15630
15192	15515
8132	15497
2478	15301
14596	15299
8040	15256
14806	15206
8853	15145
9620	15121
1626	15112
405	15092
8696	15061
2866	14978
7403	14946
7959	14925
9557	14731
14825	14729
2266	14651
290	14634
33	14590
466	14533
3960	14481
475	14472
2694	14470
9511	14466
17421	14457
16053	14451
282	14408
4567	14396
8920	14377
182	14368
9	14335
1871	14330
33971	14325
3424	14311
361	14281
3954	14256
194	14256
329	14244
2123	14200
3316	14148
4175	14140
467	14133
7317	14113
9313	14098
1873	14093
417	14070
9529	14019
14995	14012
3722	13996
4005	13993
115	13860
7333	13849
1900	13848
4696	13842
29246	13773
10338	13677
40609	13649
453	13642
16752	13639
14427	13612
40604	13559
2093	13541
8197	13513
2549	13470
6234	13351
272	13344
3113	13327
3311	13324
2822	13258
3415	13236
15830	13189
262	13151
14088	13072
383	13048
844	13023
1680	13021
3727	13019
269	13006
6795	12955
38	12946
15155	12928
3253	12904
9720	12885
1046	12879
3059	12877
3085	12856
7395	12826
1687	12822
275	12796
4249	12778
3975	12717
9701	12689
1947	12689
3887	12659
9642	12606
16900	12602
2748	12595
17503	12592
13556	12580
17	12573
12963	12554
5504	12554
2492	12531
8850	12525
10024	12517
2554	12464
4126	12431
1958	12406
110	12349
482	12346
1664	12288
9347	12282
2354	12265
2603	12254
184	12245
169	12226
1998	12159
7330	12145
6122	12098
190	12092
3916	12077
37	12050
2937	12037
13757	12002
676	12000
22976	11965
15110	11860
15093	11850
281	11739
3387	11738
30627	11700
9340	11671
29122	11668
316	11666
12	11662
146	11631
3721	11618
1894	11608
5842	11595
9334	11584
64	11528
13036	11525
1700	11504
578	11469
13863	11468
8671	11447
7050	11431
2563	11346
1483	11343
16362	11331
3044	11264
9147	11180
113	11168
4227	11091
10287	11076
7337	11073
32703	11040
7661	11039
308	11015
15116	10999
1996	10974
2073	10942
14082	10933
210	10889
39	10852
9169	10826
2111	10782
7339	10754
15624	10750
1763	10707
7396	10705
11033	10568
20775	10564
3019	10540
2689	10526
14726	10503
19202	10474
9615	10452
278	10440
13317	10380
1649	10380
9477	10353
27720	10299
3841	10291
2768	10285
10046	10245
96	10242
3131	10195
1991	10191
3588	10180
43624	10171
14365	10150
36	10145
609	10128
2733	10119
14138	10117
489	10110
3096	10109
10006	10099
9486	10072
421	10072
416	10066
354	10028
2437	9996
1760	9993
13286	9902
178	9897
770	9885
9693	9876
28818	9873
20292	9832
6256	9804
26030	9799
2567	9791
1990	9723
46786	9678
4117	9645
14005	9610
4082	9609
2596	9602
127	9590
4343	9588
1144	9579
13037	9573
9787	9450
15095	9445
4170	9392
319	9362
3739	9358
22923	9358
16889	9347
10183	9289
26844	9285
574	9283
229	9270
7487	9266
2508	9250
507	9246
3336	9196
6779	9183
29341	9148
1130	9096
16542	9054
8389	9039
2436	9037
9292	9011
13301	9008
4558	9003
2789	8964
200	8913
15053	8906
15109	8888
11056	8876
6306	8861
4250	8827
3151	8806
515	8791
42127	8782
1708	8781
15642	8773
40	8740
2730	8727
36386	8714
521	8699
9845	8694
6067	8629
73	8623
32556	8620
2828	8614
7255	8613
3312	8613
14208	8608
4006	8568
501	8548
45314	8512
2821	8506
6100	8494
2729	8489
513	8456
42074	8454
2322	8446
334	8445
3200	8441
6766	8374
15395	8373
16452	8370
13187	8339
722	8322
2474	8311
9141	8303
3940	8295
1978	8287
6668	8275
9804	8272
2214	8271
2778	8264
5778	8240
8996	8232
14839	8227
3265	8224
75	8193
6108	8187
2562	8183
86	8168
3734	8163
136	8147
259	8130
5176	8111
2907	8097
551	8090
4166	8089
4370	8085
391	8075
6199	8072
17414	8071
6545	8070
9483	8055
15003	8011
48678	7993
29104	7991
2552	7985
3079	7957
1459	7952
6561	7948
5041	7944
4310	7941
8314	7919
3318	7896
17444	7892
5860	7858
7295	7847
3670	7839
10140	7827
2588	7820
543	7783
7014	7756
23817	7742
9512	7736
8933	7734
11732	7732
111	7730
1915	7721
2362	7701
19955	7696
2716	7691
9683	7689
14134	7683
4726	7659
1268	7638
2890	7623
16888	7621
10306	7619
47	7613
3153	7611
2993	7608
400	7573
9873	7568
15520	7511
4719	7501
2705	7473
494	7470
23182	7458
27748	7444
9037	7438
95	7420
10523	7413
7323	7413
15749	7404
29089	7397
16881	7384
13789	7365
3095	7360
839	7357
9671	7350
4638	7350
1354	7331
5378	7327
9695	7316
4247	7309
8821	7289
8010	7288
5340	7287
1034	7247
15571	7237
3128	7227
8876	7215
4273	7215
14783	7208
6205	7201
15385	7195
11281	7188
14305	7180
13151	7157
3103	7137
10554	7117
3837	7110
2583	7100
701043	7089
9136	7081
6290	7081
523	7080
4614	7070
13118	7063
6847	7063
6379	7060
46647	7041
217	7039
32559	7035
15111	7032
58406	7024
9952	7019
1701	7007
314	6963
1366	6947
13349	6941
5009	6907
10716	6896
3750	6893
67668	6882
40079	6874
14841	6873
23010	6873
7301	6870
4843	6867
2416	6848
8775	6832
22648	6819
11254	6817
13500	6801
240	6786
5190	6782
18273	6773
3690	6759
13397	6756
7326	6748
4941	6745
1502	6743
2980	6742
26747	6735
13535	6731
7307	6728
6198	6722
2932	6697
13074	6696
13042	6658
16859	6655
493	6636
20399	6634
869	6633
92	6631
7989	6614
12085	6613
9814	6608
810	6599
8649	6572
3334	6570
180	6569
198	6553
34032	6546
19	6537
9487	6524
57070	6518
3087	6517
1825	6517
2173	6515
5396	6500
188	6480
1385	6475
10524	6464
9735	6459
576	6447
4834	6446
53303	6442
4475	6436
3895	6413
1466	6408
2573	6402
34583	6395
3729	6394
138	6385
5701	6384
57442	6383
4979	6376
432	6359
13062	6357
4681	6355
2586	6348
14718	6342
6421	6336
2788	6334
10027	6302
7306	6289
3599	6264
14212	6262
5336	6232
20031	6228
3130	6210
420	6210
8731	6198
5254	6191
4276	6190
2731	6166
2697	6159
7276	6157
10294	6154
629	6131
7600	6127
18	6122
35650	6114
8139	6112
51732	6103
4890	6093
509	6092
3751	6092
4366	6090
4307	6087
196	6068
23831	6066
4942	6062
9876	6046
530	6044
12616	6025
4125	6017
2287	6005
4467	6002
68076	5998
6183	5994
41694	5972
7042	5971
13228	5950
155	5946
27847	5941
2804	5933
7545	5920
11224	5895
15949	5885
9916	5880
13300	5870
80436	5866
9424	5844
4111	5835
13119	5833
29513	5810
709	5799
6014	5794
67678	5784
375	5783
10158	5781
8856	5780
2000	5769
9944	5763
3254	5760
9910	5749
2648	5734
16896	5733
142	5730
2613	5729
21587	5725
6393	5721
4609	5707
15770	5696
43987	5689
27750	5681
14858	5669
677	5668
14794	5661
28156	5640
22803	5635
10539	5631
6040	5627
2782	5617
222	5615
7929	5607
489478	5605
3120	5599
6249	5597
6799	5596
2762	5595
1767	5593
8530	5584
19792	5569
3724	5563
12808	5553
6334	5553
2771	5547
2950	5533
15001	5529
15128	5529
57419	5525
104	5516
32732	5515
3010	5513
3241	5508
15268	5508
3661	5499
4965	5492
9915	5488
4168	5487
211	5481
1074	5469
6262	5465
1551	5464
18734	5460
4313	5454
811	5433
10309	5433
747550	5430
2481	5427
7952	5426
14961	5425
12239	5413
13238	5411
6230	5408
7397	5407
548	5395
216	5379
52546	5377
7598	5373
28625	5369
973	5369
29069	5365
5211	5364
15538	5361
22880	5351
29177	5350
3268	5348
48892	5337
20895	5312
28577	5309
44865	5309
203	5304
8926	5275
15101	5273
32074	5268
7068	5251
23152	5239
4092	5234
495	5229
7644	5227
10330	5212
3731	5208
15168	5206
11179	5200
697	5197
6399	5190
9751	5190
5457	5185
5192	5177
473	5173
9875	5169
1440	5167
10112	5166
6776	5164
3370	5164
3136	5163
409	5160
9518	5160
15104	5157
15910	5142
20934	5133
15000	5127
476	5125
22835	5123
3999	5121
5833	5097
23140	5096
3695	5096
15334	5089
42891	5081
61	5068
11984	5061
21155	5050
9506	5049
16268	5048
2584	5047
13075	5046
40620	5044
207	5029
4546	5021
17289	5019
2505	5018
5945	5009
29203	5005
12151	5003
27188	4999
7838	4976
1670	4964
12987	4962
2301	4960
1535	4958
20	4947
19793	4942
6171	4941
212	4936
4692	4931
1891	4929
3269	4928
517	4928
263	4926
8664	4924
22962	4922
2585	4916
16428	4914
28545	4910
10023	4903
11135	4888
3416	4879
4181	4867
11470	4859
2544	4857
2726	4857
29465	4850
3357	4842
3711	4822
8362	4821
407	4821
19716	4817
3266	4808
1607	4807
2139	4805
16844	4804
30	4797
2557	4790
62	4788
35616	4782
3935	4778
10464	4769
10179	4768
8596	4764
9660	4763
597	4760
2587	4744
15251	4739
17128	4729
8919	4728
15653	4727
9158	4716
2206	4710
9481	4705
14033	4703
17905	4693
221	4689
40611	4685
7935	4682
11180	4680
24239	4678
12187	4676
9101	4673
49718	4663
52171	4657
5821	4652
8263	4649
3590	4649
28743	4642
2732	4634
1711	4633
5154	4631
22637	4629
15154	4619
631	4594
3147	4594
4031	4593
2355	4591
29535	4582
3390	4574
3027	4573
549	4563
11249	4555
9772	4553
60	4548
7907	4548
5031	4547
1605	4536
9766	4536
7334	4534
8358	4520
5307	4517
5745	4511
4619	4508
74	4508
13159	4507
2314	4497
35666	4487
13708	4478
7058	4474
20790	4470
3544	4469
2808	4465
27237	4463
9000	4457
106	4451
28906	4450
15236	4448
11242	4444
2991	4442
9969	4439
14073	4439
1312	4433
3008	4431
22	4416
1969	4415
13448	4400
13230	4395
367	4387
15248	4379
5642	4377
14628	4375
16340	4375
6138	4372
34138	4370
1690	4365
2708	4358
742	4352
1899	4350
34028	4347
3091	4342
35826	4342
29739	4326
86554	4324
12968	4323
9698	4317
514	4316
1359	4314
3078	4313
67755	4309
8855	4309
3024	4301
69470	4294
9126	4291
37650	4288
1704	4284
3784	4281
14998	4280
436	4280
16289	4279
5571	4278
5212	4274
22716	4268
19645	4266
216397	4266
17349	4266
220	4262
10705	4258
15707	4258
15195	4257
9113	4253
4023	4249
19656	4249
308831	4243
6787	4243
15198	4242
7325	4228
128	4226
2559	4224
34223	4223
5333	4223
3885	4218
5756	4217
13555	4217
8443	4214
801	4213
2799	4206
9688	4206
4596	4199
40725	4198
4173	4192
2604	4192
186	4191
1681	4190
2933	4187
179	4185
29101	4183
35580	4178
154	4176
15810	4172
28572	4169
7031	4159
3741	4156
93764	4155
13197	4152
3561	4151
4399	4150
10475	4150
2940	4146
29204	4146
7046	4142
8851	4142
4603	4136
9699	4134
39748	4133
33985	4132
10877	4131
26209	4125
9548	4123
26422	4119
5397	4116
41087	4115
28404	4113
13750	4112
19745	4103
21733	4102
14218	4099
2325	4093
19294	4092
17344	4088
7537	4087
13550	4080
15393	4072
10031	4072
7899	4071
14455	4071
332	4068
16707	4068
9466	4067
7990	4065
33908	4065
5129	4054
3616	4053
9847	4040
2683	4033
2084	4030
2863	4026
4317	4019
4397	4017
5891	4015
380	4002
9625	4001
6045	3999
40628	3994
39885	3987
48618	3985
19744	3982
10000	3976
351	3972
6375	3966
5045	3966
48427	3955
4690	3954
15576	3953
7505	3952
14871	3942
7488	3942
11	3937
9546	3928
16579	3922
4162	3910
4025	3910
13449	3910
3004	3899
38997	3896
19437	3888
15914	3888
15822	3878
3466	3875
35587	3873
17398	3867
40675	3864
33145	3862
4727	3861
139381	3854
13364	3854
12381	3850
9928	3845
9540	3845
11054	3835
8462	3834
6891	3831
2943	3829
4676	3829
70686	3827
17815	3826
5465	3825
3938	3817
12978	3817
30366	3815
11084	3811
12141	3810
14423	3809
27848	3807
6136	3802
16426	3798
35475	3796
52557	3795
680	3794
4684	3792
5327	3788
6173	3786
14876	3784
15906	3778
306	3777
27155	3775
5137	3774
991	3773
8662	3767
48712	3755
13852	3753
124102	3749
6156	3734
32216	3720
5899	3719
2542	3719
44279	3716
9803	3710
39842	3697
5569	3672
5974	3665
15114	3665
11237	3663
13342	3662
9488	3660
7309	3650
13787	3649
2763	3647
2200	3645
2913	3636
3653	3635
10550	3631
17227	3628
8450	3625
2674	3623
42524	3621
15217	3620
15922	3614
15437	3608
9430	3608
206	3602
15031	3601
