	artist_id
379	44353
368	42663
16	34783
1602	34333
54	31096
320	30799
238	25993
289	24693
295	23882
259	20756
46	20530
55	20300
424	19686
140	19335
2442	19322
1651	18968
1671	18609
16295	18439
499	18365
2267	17975
153	17582
245	16477
283	16435
3019	16251
135	16139
461	15916
351	15876
1793	15868
27	15862
1763	15619
4726	15416
3149	15144
10611	15123
145	14933
4206	14753
290	14595
3724	14494
2732	14398
74	14152
2596	14124
1825	13914
266	13718
504	13686
279	13604
1681	13324
691	13299
869	13274
85	13164
350	13082
1998	13078
2487	13072
3	12999
4081	12919
4101	12649
680	12631
489	12315
811	12296
67417	12167
3153	12056
3887	12012
2353	11942
722	11923
4083	11577
2562	11563
2437	11190
1760	11078
1774	10995
99	10962
1696	10944
1358	10900
1359	10819
2758	10797
520	10679
676	10676
425	10650
844	10599
4112	10522
79	10495
1339	10473
2111	10446
507	10435
1677	10354
64	10347
402	10228
6130	10161
6904	10138
329	10136
7	10097
163	10094
406	10025
185	9982
1648	9788
1807	9726
2673	9711
129	9691
2585	9687
3136	9652
1649	9633
4890	9486
172	9457
5046	9409
4115	9320
48	9285
3730	9244
177	9150
1899	9149
924	9031
1680	8994
2932	8950
4117	8942
93	8888
249	8853
2807	8844
2072	8784
1317	8767
132	8711
4	8697
1708	8694
2923	8677
62	8644
6234	8540
14783	8488
1871	8471
515	8459
301	8403
493	8351
2974	8139
32	8122
277	8101
4564	8052
391	8013
2556	7909
2943	7907
709	7885
2638	7884
1326	7884
75	7877
362	7852
52	7844
6138	7833
272	7788
1268	7739
1092	7733
1891	7719
3727	7702
2821	7700
122	7691
1	7645
3750	7627
3916	7605
3445	7574
15712	7452
330	7411
5031	7364
240	7353
2539	7353
482	7337
5619	7304
991	7273
12187	7272
276	7219
2123	7174
308	7153
2354	7086
2865	7044
1792	7034
1894	7033
67	7029
2552	7016
137	7007
8040	6980
405	6978
11180	6972
16574	6949
420	6926
18	6887
5884	6837
29	6829
548	6799
689	6777
148	6719
131	6715
2980	6683
8030	6682
3059	6674
2824	6673
2492	6665
5175	6663
3091	6632
2933	6619
139	6593
3782	6587
16308	6537
1514	6512
840	6486
1804	6454
4370	6406
2616	6395
67086	6392
3095	6344
2549	6313
417	6295
1700	6276
5974	6270
3106	6248
2940	6229
3027	6227
502	6202
6230	6199
4607	6197
182	6197
71	6172
3008	6165
1705	6145
1536	6139
453	6125
269	6073
2266	6060
3650	6046
8649	6039
11	6037
16900	5992
3268	5951
1426	5921
3031	5912
208	5896
10112	5847
2610	5844
4721	5835
6773	5767
1666	5757
6031	5740
1682	5690
3784	5688
4193	5677
4398	5663
2992	5623
7463	5617
365	5594
4619	5577
2325	5574
6270	5545
2570	5538
8187	5535
190	5535
1873	5534
141	5525
2762	5507
5842	5505
2558	5491
171	5487
2587	5485
2726	5477
2029	5476
7833	5475
4035	5452
66	5450
4600	5441
2782	5436
247	5430
2559	5390
2733	5377
1466	5371
1324	5371
4558	5358
8889	5334
16888	5332
16269	5331
1789	5314
1756	5308
3078	5284
336	5248
2999	5228
3103	5220
16289	5214
5749	5211
2478	5191
16825	5183
355	5170
9766	5158
6263	5153
