artist_id	counts
5407	1080
17854	1047
2817	995
2230	994
36380	976
2097	955
37751	934
17030	900
36376	894
17853	873
27613	854
2820	837
2571	822
37185	809
131025	781
2816	769
17031	711
3030	711
38042	710
9841	693
5411	650
6820	642
36408	633
36378	627
53878	624
36381	590
6280	560
109858	557
17274	553
36415	552
15340	544
36888	537
2720	535
2226	526
2551	502
2812	502
37724	492
2099	475
36367	471
17119	456
115551	446
5605	445
18035	441
77221	438
37029	433
179130	432
311941	426
17727	424
17153	423
53510	421
13641	413
121319	407
54009	406
119820	402
37034	397
38380	390
2229	387
22220	381
109385	377
17076	377
17719	375
80953	369
37506	367
1959	358
36400	348
22987	342
17461	341
36948	333
61214	330
39841	320
109376	319
2814	318
36375	315
60486	315
37517	314
28858	313
37302	304
34193	302
55240	301
2813	299
36542	294
2228	294
84728	293
17029	292
105788	291
6184	289
17041	288
37966	287
17834	286
38114	285
36889	283
5274	283
3093	276
37258	275
9121	270
36359	270
36352	269
50585	268
24311	268
82299	266
36887	264
32999	264
2065	264
8036	261
7536	260
131719	260
5484	257
337673	250
17867	242
92750	241
17277	240
42232	238
6797	235
212524	235
109688	235
91140	233
32701	233
37346	232
5977	232
2098	231
36416	230
17756	230
620543	229
119895	228
17935	227
86074	227
6998	226
49310	226
17668	219
36370	219
64895	218
17057	216
30753	214
37548	214
36886	214
17665	214
49334	213
84629	212
109355	212
36443	208
37039	207
8925	207
17881	207
2823	203
36357	202
37804	202
17745	201
81419	199
189537	198
36361	196
5280	196
17974	195
17855	195
254386	194
1870	192
93918	191
17986	191
116362	189
5783	189
17674	189
17074	188
3233	184
1814	184
90524	183
37020	179
36951	178
141750	178
33087	177
36397	175
37186	172
17828	171
47374	170
36373	170
49422	169
17060	169
36491	168
90725	167
49407	166
9530	166
8714	166
131442	165
139019	165
8692	165
42153	164
157943	164
93506	163
115203	162
90731	161
308174	160
5239	159
8724	159
131126	158
109867	157
17835	157
36475	156
40132	156
227309	155
9685	155
17833	155
37977	154
