artist_id	counts
123590	732
80065	670
619	618
33038	536
1432	488
1849	449
80005	419
133225	415
579	412
2497	406
72382	398
156259	394
72277	373
218	364
156640	361
72270	339
1601	310
72242	260
80006	258
123585	257
80021	253
156073	232
80018	223
50487	218
5660	214
1431	212
123588	206
80009	206
72271	205
72233	205
156432	204
123565	187
123586	181
80045	177
63062	170
2083	169
100769	168
72245	167
585	162
166504	161
72232	159
72308	157
121111	149
156753	149
418451	149
155939	148
80007	145
155949	145
2043	145
156704	141
52322	137
22481	131
72246	129
155952	128
72243	126
152786	126
80089	122
156344	120
22411	120
133215	119
8237	118
80128	115
72248	115
2042	115
72330	113
72484	109
123566	108
10454	108
80023	107
44958	107
588	105
156588	102
8774	102
156254	101
72278	100
221036	98
114538	98
307270	96
156641	95
156133	94
18945	93
156654	92
637	91
425314	91
114838	90
581	90
156583	90
850200	87
876846	87
302036	86
54665	86
34986	85
87272	85
133236	85
87270	85
133226	84
72414	82
158121	81
165619	81
72309	80
33887	80
16791	80
72497	79
165613	79
156580	79
22312	79
121096	79
325045	78
196508	77
123662	76
165552	76
133220	76
156345	76
237975	75
584	75
178491	74
5841	74
27123	73
95470	72
72376	72
186416	72
34388	71
114693	70
156761	70
18842	69
1604	69
87885	67
72361	67
106748	66
156339	66
50453	66
51370	66
159296	66
53969	65
282942	64
76015	64
52288	64
156895	63
325107	63
186469	63
601	63
743	62
123538	62
63161	61
766	61
40628	61
44253	60
76540	60
186435	60
17663	60
123614	59
1800	59
10949	59
156605	58
391172	58
165273	58
44834	57
12964	57
61310	57
10070	56
133205	56
418401	55
437792	55
5559	55
651	54
72471	54
34453	54
667	53
80043	53
218915	53
61882	53
2531	52
320104	52
687	52
35929	52
156355	51
9003	51
27426	51
615	51
156341	50
35772	50
85530	50
1813264	50
52072	49
156307	49
43266	49
9048	49
109881	48
123623	48
179660	48
83249	48
75910	48
156158	48
73022	48
501911	48
64543	47
51604	47
72527	47
1090	47
156656	47
