	artist_id	count
0	54	17130
1	153	9585
2	368	9025
3	1602	7968
4	46	7421
5	44199	7419
6	1648	7293
7	140	6399
8	137	6268
9	3	6228
10	4115	6073
11	438	4874
12	13962	4872
13	425	4504
14	320	4369
15	13505	4365
16	470	4326
17	14167	4233
18	130	4222
19	2868	4219
20	238	4209
21	13680	4150
22	7	4128
23	350	4069
24	504	4044
25	301	4000
26	691	3985
27	279	3926
28	14438	3921
29	2093	3901
30	245	3884
31	1514	3808
32	13866	3801
33	16	3789
34	471	3733
35	6872	3726
36	27	3722
37	283	3722
38	14298	3557
39	1339	3545
40	1705	3536
41	13698	3535
42	1681	3515
43	4083	3496
44	13448	3454
45	227	3450
46	329	3449
47	1268	3391
48	2266	3378
49	461	3367
50	114	3332
51	424	3289
52	379	3288
53	6766	3191
54	135	3135
55	5215	3111
56	17414	3105
57	15578	3093
58	13596	3092
59	2123	3088
60	13777	3067
61	8852	2958
62	402	2950
63	172	2915
64	7904	2906
65	13883	2873
66	924	2870
67	64	2856
68	2539	2841
69	12	2834
70	32	2831
71	277493	2830
72	6319	2799
73	499	2783
74	4482	2754
75	2353	2750
76	2730	2742
77	80012	2693
78	14023	2692
79	3721	2689
80	85	2689
81	141	2660
82	97	2657
83	14007	2642
84	3138	2637
85	3019	2610
86	55	2579
87	5608	2576
88	6395	2566
89	13613	2561
90	3732	2539
91	266	2536
92	1666	2535
93	13253	2533
94	9486	2513
95	1871	2500
96	6150	2480
97	105	2478
98	17817	2460
99	4081	2451
100	10046	2444
101	3026	2442
102	844	2422
103	79	2384
104	406	2378
105	20278	2365
106	16045	2362
107	5619	2359
108	13661	2306
109	14154	2284
110	2683	2270
111	95246	2269
112	62	2250
113	4035	2207
114	2487	2205
115	2762	2198
116	1426	2176
117	3268	2150
118	289	2143
119	8596	2131
120	24980	2085
121	1	2075
122	308	2071
123	1671	2067
124	245397	2059
125	16078	2054
126	295	2052
127	4206	2044
128	259	2027
129	99	2024
130	2442	2018
131	2437	2015
132	66584	2014
133	6421	2007
134	74	2006
135	312165	1981
136	4207	1955
137	1793	1947
138	1651	1912
139	405	1905
140	3590	1902
141	360	1864
142	4	1863
143	384	1855
144	13664	1850
145	4171	1844
146	3915	1830
147	290	1824
148	163	1823
149	8891	1803
150	353	1797
151	243	1795
152	1358	1794
153	13878	1774
154	355	1772
155	17316	1762
156	836	1754
157	811	1737
158	9064	1733
159	1760	1731
160	26988	1730
161	1935	1702
162	171	1702
163	1680	1701
164	1998	1701
165	3724	1695
166	2988	1693
167	28	1687
168	2758	1686
169	1807	1683
170	56	1677
171	16294	1657
172	2478	1656
173	2570	1639
174	1947	1638
175	5842	1617
176	515	1613
177	6004	1604
178	16889	1604
179	67	1600
180	4726	1597
181	2436	1595
182	2590	1594
183	7334	1592
184	15988	1576
185	2932	1570
186	416	1562
187	362	1557
188	2111	1549
189	453	1546
190	8033	1534
191	9079	1534
192	8889	1533
193	14026	1531
194	71	1530
195	20733	1530
196	84891	1525
197	249	1522
198	3085	1521
199	272	1514
200	2492	1511
201	15003	1511
202	9716	1498
203	9178	1493
204	115	1488
205	186	1488
206	80082	1479
207	4661	1470
208	44411	1464
209	3730	1457
210	520	1454
211	709	1454
212	1459	1452
213	15248	1443
214	36269	1437
215	2967	1432
216	19879	1432
217	4166	1429
218	5190	1423
219	686	1421
220	2732	1420
221	3253	1406
222	13595	1400
223	2726	1396
224	3153	1396
225	13443	1390
226	4672	1390
227	840	1389
228	13438	1387
229	3059	1381
230	3031	1370
231	2638	1367
232	5700	1362
233	3744	1361
234	248	1358
235	1703	1353
236	1696	1339
237	13840	1338
238	40620	1335
239	32216	1326
240	326	1319
241	59698	1309
242	145	1308
243	66760	1308
244	5031	1306
245	6852	1303
246	3137	1299
247	2558	1295
248	8597	1283
249	15362	1282
250	365	1279
251	2073	1278
252	5778	1274
253	66759	1271
254	4558	1270
255	2923	1268
256	15359	1267
257	84533	1264
258	1359	1262
259	13646	1262
260	7403	1261
261	17240	1252
262	13839	1250
263	3886	1249
264	5378	1248
265	2567	1243
266	467	1239
267	4567	1236
268	4398	1235
269	91931	1229
270	1900	1225
271	955012	1224
272	8649	1224
