	artist_id	count
0	54	9044
1	368	7717
2	1602	5939
3	320	5871
4	55	5377
5	4115	5258
6	153	4761
7	137	4437
8	266	4295
9	283	4179
10	245	4169
11	85	4094
12	676	3788
13	295	3707
14	42914	3564
15	35826	3469
16	3078	3424
17	2442	3228
18	52742	3097
19	2266	3068
20	36141	3052
21	1705	2866
22	135	2738
23	56	2729
24	3	2714
25	353	2712
26	71	2700
27	203	2674
28	40102	2611
29	4083	2595
30	1	2570
31	470	2551
32	140	2476
33	1651	2387
34	279	2325
35	504	2306
36	6230	2280
37	365	2275
38	52741	2263
39	1807	2260
40	85308	2243
41	1666	2226
42	67767	2197
43	548	2155
44	81264	2148
45	2492	2140
46	1677	2138
47	129	2106
48	38573	2071
49	461	2012
50	4081	2004
51	42767	1993
52	8696	1978
53	4726	1966
54	482	1916
55	1339	1872
56	4206	1870
57	272	1858
58	1763	1856
59	27	1836
60	148	1806
61	99	1797
62	6334	1790
63	8	1790
64	6004	1778
65	8040	1768
66	5778	1764
67	6288	1731
68	405	1729
69	163	1728
70	16	1714
71	1873	1699
72	25969	1696
73	2821	1682
74	52	1681
75	93	1672
76	194	1670
77	109166	1644
78	3887	1628
79	924	1612
80	4134	1606
81	360	1602
82	46	1601
83	6183	1571
84	2487	1568
85	81894	1563
86	6130	1559
87	185	1559
88	10121	1546
89	2549	1500
90	402	1488
91	27107	1479
92	379	1472
93	7	1455
94	3727	1452
95	4482	1447
96	43	1432
97	2563	1400
98	5527	1362
99	32	1358
100	5215	1338
101	124960	1329
102	172	1324
103	1947	1316
104	64	1295
105	2716	1286
106	51228	1283
107	27031	1282
108	499	1278
109	3599	1273
110	3847	1270
111	515	1269
112	3670	1263
113	248	1253
114	471	1247
115	2353	1244
116	26707	1234
117	2267	1223
118	4035	1200
119	6000	1196
120	2758	1191
121	406	1184
122	3026	1183
123	144934	1180
124	308	1179
125	6122	1176
126	1671	1168
127	16889	1166
128	4	1150
129	65256	1140
130	42835	1138
131	3520	1135
132	4092	1132
133	549	1122
134	6836	1120
135	1092	1117
136	8891	1112
137	689	1109
138	141	1107
139	3153	1104
140	2030	1092
141	144588	1091
142	2596	1089
143	13055	1085
144	417	1084
145	520	1069
146	3333	1067
147	227	1060
148	36142	1053
149	355	1047
150	36143	1041
151	840	1027
152	238	1024
153	3420	1020
154	374	1019
155	481	1018
156	4101	1015
157	8671	1005
158	182	999
159	517	974
160	3724	972
161	105	963
162	12986	961
163	132	958
164	362	958
165	8314	956
166	289	944
167	1268	944
168	9028	937
169	3418	934
170	29151	934
171	79	933
172	453	930
173	249	919
174	9701	918
175	6668	916
176	28	911
177	6795	899
178	42794	898
179	100486	892
180	100678	891
181	336	890
182	3661	890
183	691	881
184	145867	875
185	350	861
186	391	858
187	347	854
188	81975	853
189	8821	853
190	3518	852
191	384	850
192	171	850
193	1789	846
194	10611	845
195	14208	842
196	145	838
197	36138	836
198	7403	832
199	3210	831
200	2558	815
201	446	813
202	52998	806
