	artist_id	count
1091	585	877
1230	22804	783
1243	15936	774
1325	550	723
1352	40662	711
1365	28906	704
1379	40631	699
1382	699	698
1467	52546	662
1496	7662	650
1503	63162	646
1514	40725	638
1549	5267	622
1554	327	621
1569	579	616
1578	89614	612
1617	766	597
1638	13347	591
1648	17653	587
1661	989	581
1665	4084	578
1692	14129	565
1707	10169	561
1714	3997	558
1725	637	553
1739	800	550
1759	22515	542
1762	35478	541
1782	16219	536
1788	7899	534
1795	124911	532
1806	17517	529
1821	107990	524
1831	64895	519
1835	36143	518
1840	790	517
1843	70540	516
1844	16777	516
1847	597	515
1872	44311	508
1875	32178	507
1879	52587	506
1884	13638	503
1891	9918	500
1894	29147	500
1895	72325	500
1946	34108	486
1958	40628	484
1961	70506	484
1962	18519	483
1964	36323	483
1971	7643	480
1973	3523	480
2000	53244	470
2010	52194	469
2016	34186	466
2019	5757	465
2028	40755	464
2029	33915	464
2036	28776	462
2038	40603	462
2045	13336	459
2057	30001	457
2059	28905	457
2060	22288	456
2066	28888	454
2077	51514	451
2088	52232	449
2095	73054	447
2100	76615	446
2103	22840	446
2113	13310	443
2114	55588	443
2116	18389	443
2123	2571	441
2129	10401	439
2139	46719	437
2153	13613	434
2156	85752	433
2157	7953	433
2160	33977	433
2163	22402	432
2179	51957	427
2182	52372	427
2191	2086	424
2203	35592	421
2209	16255	418
2219	22432	416
2226	39755	414
2229	3993	414
2232	797	414
2233	27972	414
2242	86063	412
2243	659	411
2246	81130	411
2255	22841	409
2261	2917	407
2265	40613	407
2267	16267	407
2274	19779	405
2278	55469	404
2288	51743	401
2292	30059	401
2311	46747	397
2325	16756	395
2333	82323	393
2339	7074	392
2343	29019	392
2344	100929	392
2346	29605	392
2349	15969	391
2351	53258	391
2352	13364	391
2353	48215	391
2355	22682	390
2376	9877	387
2378	16172	387
2381	38536	387
2384	91338	386
2385	119265	386
2389	6560	386
2394	3376	385
2401	65403	384
2409	17030	383
2412	64896	383
2415	15076	382
2422	91225	381
2423	13824	380
2429	28266	380
2439	40611	377
2441	20030	377
2446	1221	376
2448	16555	376
2450	109858	375
2453	15352	375
2459	46089	375
2461	651	374
2464	1570	374
2465	34320	374
2470	20034	373
2474	5684	373
2475	4085	373
2476	79127	373
2478	40672	373
2482	303	371
2484	40645	370
2494	39707	369
2497	4133	369
2504	46653	368
2505	36376	368
2513	43486	367
2517	645	366
2521	16946	366
2525	25171	365
2529	22434	365
2530	64966	365
2531	3870	365
2532	20441	365
2540	4801	363
2544	69415	362
2546	13720	362
2550	16107	362
2552	51836	361
2558	65545	360
2562	17756	359
2570	14432	358
2575	13331	358
2576	5257	357
2584	10081	357
2591	91497	356
2593	10360	356
2595	75679	356
2596	40002	356
2600	22669	355
2612	5250	354
2617	14217	353
2618	7983	353
2623	23057	353
2627	140441	351
2632	7599	351
2633	25473	351
2634	42426	351
2638	2816	351
2657	695	348
2664	40200	347
2674	6961	346
2675	39288	346
2687	85881	345
2688	34356	345
2689	69844	345
2692	112607	344
2694	50584	344
2697	31543	343
2711	68626	340
2715	76148	340
2721	35616	339
2727	29357	338
2729	38042	338
2734	2389	337
2735	155057	337
2737	581	337
2742	13502	336
2743	24288	336
2749	73391	335
2752	5620	335
2753	50564	335
2755	59349	335
2759	13769	334
2761	17114	334
2766	88780	333
2767	16191	333
2772	5462	332
2776	5205	332
2781	33484	331
2783	7240	331
2784	38807	331
2785	18334	331
2788	60329	330
2792	28343	328
2795	36888	328
2796	149637	328
2801	13327	328
2809	44018	327
2818	9584	325
2819	3693	325
2823	16417	325
2824	100364	324
2835	24000	323
2837	34917	323
2865	40699	318
2867	81257	318
2868	4034	318
2877	57882	317
2890	34453	316
2892	13847	316
2901	15412	315
2902	35751	315
2903	28411	315
2919	5080	313
2921	52278	312
2924	10999	312
2926	16241	311
2927	42499	311
2929	166135	311
2930	3030	311
2935	10555	310
2948	7157	309
2955	37020	308
2962	84900	307
2978	78204	305
2983	53459	305
2984	10070	305
2988	75114	305
2991	84471	305
3003	17319	303
3006	403	303
3007	52840	303
3013	16212	302
3015	40579	302
3019	5814	302
3021	7888	301
3022	10454	301
3025	13236	301
3033	66674	300
3034	37302	300
3035	69706	300
3050	2872691	298
3053	17298	298
3056	78293	298
3060	73355	297
3062	4352	297
3082	10563	295
3083	33887	295
3090	10053	294
3094	16536	294
3096	86724	294
3097	3833	294
3099	82618	293
3105	18099	293
3107	13340	292
3116	23324	292
3117	16351	292
3119	35375	292
3123	29127	291
3125	29002	291
3126	13227	291
3130	1090	290
3132	22427	290
3133	18781	290
3136	22688	290
3140	4358	289
3141	216397	289
3142	34183	289
3144	15970	289
3148	28595	289
3165	16628	287
3166	154915	287
3171	22830	286
3174	13337	286
3178	1720	285
3180	66178	285
3182	19641	285
3183	3671	285
3186	115551	284
3189	59182	284
3196	16393	283
3202	4762	283
3203	40657	283
3214	34199	282
3221	72777	282
3222	18956	282
3225	15471	282
3229	2430	282
3231	13402	282
3232	16374	281
3246	40667	280
3248	28985	280
3256	653	279
3257	51585	279
3261	39774	278
3265	100368	278
3270	3709	277
3271	46728	277
3274	52817	277
3275	52387	277
3278	9774	276
3286	40633	276
3294	115472	275
3296	77732	275
3298	35962	275
3303	22312	275
3308	4036	274
3310	15343	274
3313	17663	274
3319	3931	273
3322	23648	273
3324	22891	273
3326	281433	273
3328	69404	273
3329	9828	273
3332	85308	272
3334	13394	272
3335	86089	272
3336	93270	272
3337	925	272
3338	761	271
3354	57181	270
3360	59293	270
3364	37724	269
3374	22741	268
3376	48771	268
3377	47738	268
3386	48822	267
3387	32869	267
3388	16427	267
3400	79676	266
3404	4494	265
3408	674	265
3411	124102	265
3416	53470	264
3417	971	264
3419	16096	264
3422	59534	264
3427	49958	263
3429	16259	263
3430	45516	263
3431	799	263
3432	40425	263
3438	6787	263
3449	13501	262
3452	48806	262
3457	58011	261
3458	10366	261
3459	18360	261
3460	10157	261
3462	15387	261
3463	5798	261
3465	36408	260
3468	36176	260
3470	36153	260
3475	4232	260
3478	16532	259
3479	51429	259
3481	16644	259
3485	95478	258
3487	70021	258
3491	16585	258
3492	26991	258
3494	6000	258
3496	15994	258
3497	27474	258
3498	137980	258
3503	85293	257
3505	33916	257
3506	35756	257
3516	13240	256
3523	396	256
3525	32556	256
3526	15896	256
3528	13749	256
3529	43400	255
3530	16530	255
3533	5426	255
3535	51369	255
3536	60319	254
3543	2834	254
3545	12121	254
3548	724	253
3551	42799	253
3553	29209	253
3556	242	253
3558	68296	253
3561	48241	253
3563	23899	252
3564	3983	252
3566	4705	252
3567	23067	252
3568	14049	252
3571	51370	252
3576	96890	251
3578	13876	251
3582	36185	250
3584	42662	250
3585	69251	250
3589	39737	250
3594	38558	249
3596	69994	249
3599	41318	249
3600	18895	249
3604	162720	248
3609	13363	248
3611	29136	248
3612	267	248
3614	53510	248
3615	2241	248
3626	8626	247
3629	116141	247
3630	5058	246
3633	58425	246
3634	79648	246
3636	13609	246
3638	68322	246
3642	5794	246
3644	4373	246
3647	53068	246
3648	40940	245
3651	4599	245
3661	24983	244
3664	36009	244
3665	65323	244
3668	63271	244
3670	7419	244
3672	582	243
3674	106957	243
3676	75394	243
3677	40641	243
3682	25969	242
3686	24976	242
3687	17061	242
3689	29221	242
3691	2154	242
3693	5888	241
3694	43282	241
3697	16263	241
3701	22857	241
3706	36415	240
3713	9782	239
3714	27857	239
3715	8677	239
3716	48594	239
3717	3952	239
3719	6833	238
3721	13073	238
3723	50516	238
3724	25150	238
3730	7322	237
3732	17489	237
3735	39580	237
3740	8714	237
3741	46755	237
3743	2820	236
3745	27115	236
3749	108981	236
3750	9646	236
3751	15714	236
3752	1259	236
3753	95449	236
3754	59698	236
3755	74704	236
3756	65705	236
3757	91220	236
3760	47658	235
3763	119846	235
3765	45650	235
3770	7887	235
3775	54867	234
3777	2956	234
3778	16273	234
3784	11771	233
3786	59517	233
3791	57255	233
3803	16652	232
3804	52106	232
3806	69370	232
3807	45278	232
3812	18379	232
3814	16122	231
3815	40737	231
3821	18101	231
3824	8625	230
3826	20095	230
3827	4768	230
3828	13326	230
3831	16378	230
3836	39968	229
3837	27862	229
3839	99991	229
3841	16997	229
3843	3210	229
3844	78860	229
3846	3620	229
3848	48774	229
3849	58910	229
3851	65562	228
3853	117628	228
3854	72188	228
3855	39771	228
3857	91590	228
3863	36273	228
3864	27863	227
3870	5694	227
3872	25362	227
3875	29271	227
3876	405852	227
3878	48349	227
3881	89587	226
3885	5512	226
3888	33906	226
3890	40647	226
3891	29102	226
3897	13237	225
3899	104165	225
3900	2099	225
3902	76846	225
3903	27926	225
3909	57995	224
3912	187349	224
3913	56083	224
3914	68475	224
3915	19020	224
3916	830	224
3917	49948	224
3918	15096	224
3919	140213	224
3920	13454	224
3922	90050	224
3923	54890	223
3925	3829	223
3931	52158	223
3932	36142	223
3933	72302	223
3935	77736	223
3936	135347	223
3938	100440	222
3940	20812	222
3942	2728	222
3943	81752	222
3949	36166	222
3952	5023	222
3953	41457	221
3954	14165	221
3955	6771	221
3959	18853	221
3961	38555	221
3962	85327	221
3968	16522	220
3971	18795	220
3975	187327	220
3979	945667	220
3980	7987	220
3981	39714	220
3983	116822	220
3985	99921	219
3987	16849	219
3988	54830	219
3990	8726	219
3991	6960	219
3992	37029	219
3995	91317	219
3997	49769	219
4003	101263	218
4006	8579	218
4007	49386	218
4012	68623	217
4017	101428	217
4019	18944	217
4020	35622	217
4023	52812	216
4026	35666	216
4029	18859	216
4030	67796	216
4031	16139	216
4033	108889	216
4036	48684	216
4037	2867	216
4038	4030	216
4039	20284	215
4041	77095	215
4044	50241	215
4052	16192	214
4053	29455	214
4055	35772	214
4057	9543	214
4058	134944	214
4062	342	214
4064	2872267	214
4065	1013	214
4066	16036	214
4068	83300	214
4072	27071	213
4074	40512	213
4076	68034	213
4077	64334	213
4078	8679	213
4080	18238	213
4083	50313	213
4084	69745	213
4087	4160	212
4089	18690	212
4091	68390	212
4092	84156	212
4093	22757	212
4095	75412	212
4096	82175	212
4101	27725	212
4105	1234	211
4106	16313	211
4107	16734	211
4115	1501	211
4118	488	211
4120	7470	211
4121	16731	211
4123	14807	210
4127	588	210
4128	36271	210
4129	101298	210
4131	69372	210
4133	27264	210
4139	16325	209
4142	29396	209
4144	22562	209
4145	50563	209
4146	652	209
4147	31749	209
4149	15137	209
4151	57393	209
4155	18285	208
4166	16291	207
4167	62581	207
4168	91236	207
4169	68399	207
4175	106508	207
4179	18990	206
4181	88479	206
4182	52191	206
4183	27891	206
4185	25152	206
4190	27846	206
4194	18459	206
4195	18526	206
4200	60558	205
4204	138072	205
4207	13777	205
4211	124038	204
4213	6838	204
4219	13404	204
4220	73024	204
4223	93474	204
4229	5680	203
4232	6348	203
4233	9679	203
4237	14661	203
4241	4135	203
4242	16882	203
4243	67772	203
4246	7271	203
4253	29329	202
4254	11808	202
4258	65003	202
4259	18948	202
4260	503	202
4261	65671	201
4263	1888	201
4266	80215	201
4267	40071	201
4272	119496	201
4273	3521	200
4274	119820	200
4280	17834	200
4281	16331	200
4283	80113	200
4284	19673	200
4291	68832	199
4299	66974	199
4300	73020	199
4301	5123	199
4302	18771	198
4303	87874	198
4305	28949	198
4307	80530	198
4308	58242	198
4309	16578	198
4310	14235	198
4313	81472	198
4314	48358	198
4320	58036	198
4323	5665	197
4324	57201	197
4325	16985	197
4326	16434	197
4330	127853	197
4331	54845	197
4333	2864	197
4334	5014	197
4335	7380	197
4336	16891	197
4337	16409	197
4338	13520	197
4339	75440	197
4343	43062	196
4348	16433	196
4349	1761	196
4351	51036	196
4353	99261	196
4354	18035	196
4355	40001	196
4359	73321	195
4361	41134	195
4362	63276	195
4366	120602	195
4370	18614	195
4371	112614	195
4372	20028	194
4373	2963	194
4374	75105	194
4375	85690	194
4378	118831	194
4379	29462	194
4383	6422	194
4384	8846	194
4386	2639	194
4395	79157	193
4398	48556	193
4399	16210	193
4401	39282	193
4402	36375	193
4404	42201	193
4406	2107	193
4407	67540	193
4408	55408	193
4409	33805	193
4411	6842	193
4412	2178	193
4415	17106	192
4416	4641	192
4423	11111	192
4424	42727	192
4425	43401	192
4428	28370	192
4430	14023	192
4431	104495	192
4433	35361	192
4438	827	191
4441	42861	191
4444	4680	191
4451	85677	191
4455	61403	191
4456	25024	191
4461	18834	190
4463	171620	190
4467	68872	190
4471	167909	190
4473	21866	190
4475	6012	190
4479	2155	189
4480	5049	189
4482	12716	189
4483	7089	189
4484	38369	189
4485	38425	189
4487	2720	189
4488	131608	189
4491	39363	189
4493	35607	189
4495	16611	189
4496	109688	189
4497	26329	189
4498	33615	189
4499	11396	189
4500	85953	189
4504	39210	189
4508	11110	188
4509	39703	188
4513	693	188
4517	59626	188
4518	27721	188
4519	103916	188
4520	7207	188
4532	64863	187
4533	13549	187
4534	4640	187
4535	49900	187
4536	36207	187
4537	51768	187
4541	33954	187
4543	1773	187
4547	4043	186
4548	1434	186
4549	19446	186
4550	81894	186
4551	15256	186
4552	13689	186
4553	502309	186
4554	21247	186
4555	35959	186
4556	80138	186
4559	55239	186
4561	5055	185
4563	72929	185
4564	5243	185
4566	9976	185
4568	41822	185
4573	22309	185
4575	35983	185
4576	56399	184
4577	62157	184
4579	4537	184
4581	84571	184
4583	130385	184
4584	144894	184
4586	48548	184
4587	53080	184
4588	14477	184
4592	16458	184
4597	23214	184
4601	52382	183
4603	130325	183
4604	16966	183
4605	14590	183
4608	9579	183
4609	38614	183
4611	58990	183
4615	16666	183
4616	39249	183
4617	85307	183
4619	3015	183
4621	35318	183
4623	13679	183
4625	15249	183
4626	2551	183
4627	60411	182
4628	15979	182
4632	21478	182
4634	8532	182
4635	601	182
4638	42165	182
4641	3777	182
4643	40333	182
4645	18335	182
