	artist_id	count
4361	53854	1126
4375	5407	1123
4387	18116	1120
4395	38817	1119
4414	26938	1113
4416	10043	1112
4430	2580	1107
4437	2970	1105
4456	17643	1099
4463	11789	1096
4465	32546	1096
4466	60369	1095
4477	2704	1091
4478	28709	1091
4480	40698	1090
4484	8394	1090
4496	22223	1086
4497	60798	1085
4498	41223	1085
4501	133	1083
4508	118089	1082
4509	13956	1082
4510	3474	1081
4513	50880	1081
4519	17705	1077
4524	49067	1075
4526	35540	1075
4527	38196	1074
4528	10369	1074
4530	26936	1074
4536	34415	1071
4537	15698	1071
4539	51292	1070
4548	74267	1067
4552	15920	1066
4553	65788	1066
4555	22024	1065
4562	11272	1063
4572	8686	1061
4574	57385	1061
4575	11766	1060
4576	2230	1060
4579	72	1059
4580	66729	1059
4581	12546	1059
4585	20794	1057
4586	54955	1057
4589	24597	1056
4590	14058	1056
4593	10917	1055
4594	37339	1055
4595	17433	1055
4598	22202	1054
4600	15602	1054
4602	27613	1054
4603	18025	1054
4605	121	1054
4606	5902	1054
4607	33662	1054
4608	16797	1053
4609	12399	1053
4611	17897	1052
4614	7858	1051
4617	29003	1050
4618	24600	1049
4625	9962	1048
4628	26805	1048
4629	7853	1047
4630	46821	1047
4634	17276	1047
4636	11044	1046
4637	42976	1045
4641	3003	1045
4647	36246	1043
4650	20563	1042
4651	8449	1042
4652	41229	1042
4654	145158	1042
4656	26863	1042
4657	10991	1041
4658	7544	1041
4660	2285	1041
4661	22364	1041
4662	10805	1041
4663	38865	1040
4666	8699	1040
4670	17358	1039
4672	11707	1038
4679	93764	1037
4681	18154	1037
4684	18171	1036
4687	16709	1034
4688	21573	1034
4689	26866	1034
4690	20374	1034
4693	26559	1033
4695	3468	1031
4696	38839	1031
4697	18158	1030
4700	6314	1030
4704	6357	1029
4706	38722	1029
4707	7958	1029
4708	10680	1029
4718	55176	1028
4720	21093	1027
4721	49310	1027
4726	1546	1025
4730	70248	1025
4731	9412	1024
4732	8994	1024
4733	18726	1024
4734	15038	1024
4735	17619	1024
4738	48611	1022
4740	35741	1022
4744	57344	1021
4751	4306	1019
4756	654	1018
4757	29693	1017
4759	39120	1017
4760	10742	1017
4762	17795	1017
4763	22280	1016
4764	13118	1016
4766	14293	1016
4767	51905	1015
4768	32131	1014
4769	16261	1014
4770	10866	1014
4772	13753	1014
4773	69166	1014
4774	39038	1014
4775	7402	1013
4779	5180	1012
4781	39105	1012
4782	2493	1011
4785	10905	1011
4788	9906	1010
4789	25126	1010
4790	35588	1010
4791	10071	1010
4793	17701	1010
4794	46677	1009
4795	7548	1009
4797	12347	1009
4798	21799	1009
4800	3070	1008
4801	389	1008
4802	10773	1008
4803	10739	1007
4804	16919	1007
4805	39645	1007
4807	55490	1006
4810	18969	1005
4811	17714	1005
4812	41390	1005
4815	10502	1004
4817	60683	1004
4820	38998	1003
4822	10849	1002
4823	28637	1002
4825	10768	1002
4826	32218	1002
4827	12561	1001
4828	3478	1001
4829	35931	1001
4830	8284	1000
4831	23135	1000
4834	68848	1000
4835	8631	999
4836	24847	999
4837	46461	999
4838	30729	999
4839	5482	999
4842	4655	998
4843	34193	998
4848	7293	996
4849	15491	996
4850	4415	996
4851	166785	995
4852	15858	995
4853	17146	995
4854	10943	994
4857	15188	993
4858	9233	993
4859	15186	992
4863	25927	992
4865	4722	991
4867	39078	991
4868	38875	991
4869	6388	990
4870	17957	990
4872	14649	990
4873	27435	990
4874	73907	990
4877	15211	989
4879	31105	989
4881	71783	988
4882	18100	988
4884	2966	987
4885	24800	987
4887	19819	986
4889	25077	984
4891	18914	984
4892	10257	984
4895	39034	982
4896	5666	982
4899	42421	982
4900	48136	982
4901	33997	982
4902	5246	982
4903	15004	982
4905	107973	981
4907	5093	981
4909	20130	981
4913	17439	979
4914	6758	979
4915	6654	979
4916	43399	979
4918	10005	979
4919	5565	979
4920	93343	978
4924	32224	977
