	tag	count
243	szanty	2
278	andrzejcore	1
284	study	1
292	elephant 6 and friends	1
296	Michael Wendler	1
308	freak metal	1
312	kindermuziek	1
314	Kuduro	1
316	chayanne	1
317	qawwali	1
330	Audiobooks	1
342	arabesk	1
343	kawaii metal	1
352	law of attraction	1
354	ladino	1
363	debilcore	1
365	Table rock	1
369	alpenrock	1
370	boleros	1
378	dftba	1
379	Helene Fischer	1
390	cabo verde	1
395	gypsy punk	1
403	country metal	1
407	bauns	1
409	watermelon	1
414	mangue beat	1
415	lullaby	1
416	adoracao	1
418	Judas Priest	1
420	Listening makes me feel more intelligent	1
421	ofwgkta	1
422	windows media player	1
425	clasica genera	1
429	franco de vita	1
432	rock catala	1
433	musicas que mexem com meu coracao	1
508	pop del bueno	2
509	post english	2
521	Vermont	2
524	moosecore	2
527	Pure pop badness and goodness	2
534	back in time	2
537	seen live multiple times	2
556	Emily Wells	1
557	TYTYTY	1
558	whalecore	1
561	z	1
563	Carioca	1
565	interesting singer	1
566	Big boy	1
569	euro metal	1
570	fucking couples music	1
572	chill to the ill	1
573	electronic thok	1
574	Lektroluv Compilation	1
575	ArtistToKnow	1
577	rockin hard and doin it right	1
578	touhou arrangements	1
579	zoo core	1
580	pop opera	1
581	Left of the Dial	1
582	Sachen die keiner braucht	1
583	antonio orozco	1
584	lady antebellum	1
586	auf festival gesehen	1
588	graveless spirits	1
590	beautytronika	1
596	dance dance dance	1
597	j-hip-hop	1
602	CA	1
603	soundtracks and scores	1
604	male rock vocalist	1
608	USA Rap	1
611	alejandro fernandez	1
612	Sifon	1
613	all ready seen	1
614	funkmysoul	1
615	wmvgartists	1
617	aufgeloest	1
618	viva zwei	1
619	Vokalensemble	1
621	glucifer	1
622	fast rap	1
623	cantautores mia MIA	1
627	leonard cohen remake	1
628	doobie brothers	1
631	orchestral disco	1
637	caribe	1
638	namjoo	1
641	gotta listen	1
642	t d m c band	1
643	chicken	1
646	black ritual ambient	1
647	expressionism	1
649	Muzyka Elegancka	1
650	outlaw-country	1
651	RisinDevil	1
652	hip-hop deutsch	1
654	guitar genius	1
655	tourettes core	1
658	brighter days	1
659	klinkt goed	1
666	turret	1
668	the Drank	1
669	played at LUU	1
671	swamp goth	1
673	couple	1
675	witch pop	1
676	scumfuc	1
677	punk rock pioneer	1
680	sweet voice	1
682	banjo and more	1
