,Tag,count
36806,twinkling starry skies,24
13707,camryn,22
3358,Female folk,21
61,1 female 2 males,20
0,'00s,20
19238,fv,19
9685,Visual-kei,19
10331,addicting,17
31299,redhot,16
15548,daniel pc,16
14397,christian camel toe,16
1403,Bands to watch,16
32989,sexy voice,16
36958,umsxsw2010,16
2649,Demi Lovato,16
29870,pop country,16
10287,acousticindiefolk,16
7853,Rock am Ring 2007,15
9693,Vocal Pop,15
13122,boy bands,15
29790,polska przeprasza,15
27110,nagoya kei,15
22874,jonas brothers,15
37187,usa: california,15
12505,best of 2009,15
13146,boys with guitars,14
35476,teraz polska,14
16891,eileikbateidountoun,14
14915,contemporary r&amp;b,14
2776,Do Przesluchania,14
17070,electroporn,14
37134,upd,14
37375,via:8tracks,14
9463,Twoja stara nabija tym scrobbling,13
5250,Korean girlsband,13
19622,gilbert linley,13
20053,gothic punk,13
8567,Splendour in the Grass,13
21180,honey,13
24124,leo bulgeboy,13
5814,Made in Spain,13
15553,danielpc88,13
4091,Happy Emo,13
22124,inteligentny polski rap,13
29565,pleased to meet you,13
17678,experimental post-punk,13
29639,poezja,13
11476,arts and crafts,13
26745,musica palurda,13
9682,Visual Rock,13
6560,Need to get,13
35772,the oc,13
25860,mexicano,12
32472,scarebear,12
14989,core core,12
3311,Favourite Band,12
11414,artist to check again,12
8311,Sigh and swoon in equal measure,12
20700,hayfields and sunshine,12
23594,korean music,12
30225,powerful voice,12
21144,home is gone,12
10806,am pop,12
3205,F O L K,12
8453,Some Damn Good Music,12
22299,italianigdchill,12
10309,actresses,12
22078,inrocks groupes a suivre,12
23584,korean artists,12
34108,south korean,12
28169,npr,12
14917,contemporary singer-songwriter,12
3583,Fueled by Ramen,12
34784,suomi rock,12
16680,dude and guitar,12
13806,cantora,12
963,Amo,12
37700,want to see,12
35069,sxsw2012,11
15272,cuddlecore,11
14244,chicks,11
34776,suomalaista,11
211,20 the countdown magazine,11
21347,hurricane 2007,11
10745,alternative indie-rock,11
2169,Christian folk,11
36325,tooth and nail,11
548,90s alternative,11
8568,Splendour in the Grass 2011,11
30665,punk cabaret,11
30859,queer friendly,11
4670,J-Rock MP3 on Amazon,11
17220,emopop,11
17538,eurosonic 2010,11
19639,girl bands,11
579,:D,11
31404,remember to check out,11
32702,seen live 2x,11
18245,femme fatale,11
18115,female folkie,11
5847,Makes Me Smile,11
10064,a campire and a tent and a flashlight and some matches and a tree and that river and my glasses and a spaceship and a really really big bear but the bear is really really far away,11
24614,lomoli,11
3849,Godly Girls,11
8115,Sandy Leah,11
3004,Electro Indie,11
25776,messyheads,11
24238,liebe,11
3624,GETINTO,11
8071,Saddle Creek,11
24462,live 2011,11
2899,EA Sports FIFA,11
27673,nickelodeon,11
27311,neo visual kei,11
24544,lo-fi pop,10
16224,disney channel,10
1635,Bleach,10
10773,alternative-rock,10
24607,lollapalooza 2011,10
38511,yol,10
10838,amazing radio,10
12531,best polish,10
1136,Artists Ive Met,10
1210,Australian Indie,10
5864,Male Groups,10
27333,neo-mpb,10
28799,ouvir,10
3916,Grand Hotel Van Cleef,10
36968,una mamada,10
31391,relevant magazine christmas,10
