	artist_id	Counts
0	368	155434
1	1602	113518
2	54	108109
3	55	92738
4	27	80903
5	283	76243
6	320	74542
7	135	74357
8	153	70295
9	16	67574
10	46	66838
11	140	63826
12	379	62601
13	245	62124
14	470	61563
15	238	60611
16	301	60364
17	289	60193
18	295	58408
19	4115	55561
20	85	55541
21	266	54863
22	3	54831
23	172	53892
24	279	53460
25	424	52729
26	499	49988
27	249	49285
28	1793	48343
29	4206	48313
30	1339	48109
31	691	47875
32	2758	46384
33	1677	45855
34	139	45598
35	1	45531
36	4081	45352
37	2442	44966
38	171	44756
39	1092	43225
40	425	43210
41	99	43035
42	141	42318
43	3019	41385
44	43	41193
45	461	41003
46	471	39874
47	132	39867
48	1651	39857
49	1648	39565
50	290	38288
51	7	38266
52	1358	38249
53	365	37561
54	1671	37340
55	2267	36935
56	924	36833
57	406	36167
58	4083	36137
59	362	35721
60	330	35583
61	248	35541
62	137	35178
63	145	34783
64	840	34768
65	1998	34751
66	129	34658
67	1705	34639
68	185	34613
69	689	34509
70	52	33985
71	438	33753
72	163	33445
73	1696	33173
74	2487	33064
75	79	32839
76	259	32374
77	402	32088
78	93	31847
79	2596	31475
80	71	31291
81	2353	31206
82	56	30898
83	329	30845
84	4	30551
85	29	30371
86	350	30125
87	844	29931
88	3026	29711
89	64	29349
90	32	29326
91	2923	29308
92	384	29252
93	4112	29161
94	504	29153
95	6852	28516
96	1871	28377
97	227	28214
98	355	27937
99	6004	27870
100	2570	27828
101	1763	27635
102	520	27500
103	2562	27306
104	3887	27169
105	3059	27091
106	13	27047
107	4726	26940
108	148	26824
109	1958	26822
110	272	26800
111	676	26729
112	1825	26619
113	1426	26606
114	722	26504
115	1666	26469
116	4117	26434
117	8	26391
118	1894	26338
119	4482	26054
120	1514	25997
121	405	25889
122	6395	25767
123	482	25199
124	182	24826
125	2354	24821
126	421	24322
127	1807	24234
128	353	24140
129	59	24134
130	374	24117
131	2123	24078
132	811	24000
133	67	23889
134	489	23850
135	1708	23827
136	5619	23334
137	7403	23017
138	1680	23016
139	416	22810
140	37	22773
141	3727	22754
142	2539	22746
143	2478	22669
144	3153	22539
145	5215	22380
146	57	22329
147	4207	22264
148	2558	22250
149	515	22240
150	9718	22214
151	194	22185
152	1681	22103
153	1268	22070
154	4171	22021
155	453	21963
156	2266	21849
157	2437	21801
158	2988	21739
159	7904	21730
160	1760	21726
161	62	21693
162	25	21668
163	308	21649
164	3137	21503
165	1483	21380
166	3013	21368
167	105	21328
168	3724	21324
169	467	21297
170	5175	21251
171	2932	21160
172	1873	21135
173	680	21116
174	114	21062
175	2492	21046
176	10028	20926
177	28	20854
178	4035	20833
179	5608	20712
180	347	20579
181	2549	20482
182	507	20451
183	686	20334
184	2986	20178
185	4672	20140
186	1703	20103
187	2824	20047
188	45	20047
189	3732	20025
190	360	20017
191	14528	19756
192	2590	19719
193	9716	19665
194	3031	19658
195	2111	19605
196	351	19250
197	1664	19123
198	869	19005
199	1935	18955
200	391	18928
201	33	18914
202	16888	18769
203	3915	18764
204	51	18739
205	6234	18591
206	3588	18572
207	3954	18416
208	6230	18334
209	2937	18327
210	18	18291
211	3136	18218
212	8040	18208
213	75	18183
214	2716	18175
215	38	18172
216	6766	18124
217	6872	18095
218	2030	18070
219	2732	17965
220	169	17873
221	1466	17857
222	203	17845
223	14088	17801
224	16900	17782
225	240	17770
226	4370	17768
227	6138	17746
228	383	17654
229	2586	17544
230	709	17452
231	1359	17451
232	3044	17398
233	89	17390
234	3095	17343
235	15520	17280
236	3113	17253
237	115	17253
238	1700	17245
239	314	17187
240	8649	17047
241	1649	16989
242	8891	16951
243	8696	16918
244	2980	16668
245	278	16659
246	4175	16573
247	6779	16556
248	2552	16491
249	1899	16459
250	74	16428
251	3730	16361
252	508	16327
253	6421	16185
254	417	16162
255	6668	16134
256	4091	16109
257	1900	16059
258	6904	16027
259	334	15975
260	6122	15957
261	8852	15923
262	4101	15856
263	13243	15812
264	9637	15783
265	69	15755
266	8039	15709
267	2603	15685
268	36	15659
269	1607	15599
270	3916	15589
271	92	15505
272	184	15417
273	16889	15396
274	3909	15389
275	243	15377
276	14596	15365
277	6256	15335
278	2563	15291
279	326	15212
280	2073	15161
281	4398	15134
282	4118	15082
283	6290	15058
284	361	15010
285	2726	14952
286	166	14930
287	2554	14929
288	432	14879
289	4558	14848
290	3445	14782
291	2768	14757
292	13719	14716
293	1774	14712
294	548	14699
295	2866	14646
296	4890	14614
297	3131	14547
298	445	14520
299	15385	14517
300	3744	14472
301	2638	14425
302	4377	14411
303	3739	14405
304	2689	14359
305	8890	14322
306	4250	14304
307	2694	14275
308	2587	14239
309	493	14235
310	190	14228
311	1459	14224
312	2556	14207
313	9701	14195
314	10611	14179
315	2943	14152
316	8314	14121
317	4399	14086
318	12986	14018
319	5842	14006
320	7463	13971
321	1947	13936
322	12151	13923
323	2733	13918
324	420	13894
325	281	13891
326	3268	13847
327	3999	13789
328	2868	13787
329	6773	13677
330	5031	13660
331	1440	13654
332	2940	13646
333	4134	13593
334	3661	13561
335	4126	13498
336	3103	13452
337	10112	13426
338	2683	13416
339	2822	13414
340	1915	13332
341	6183	13323
342	269	13315
343	2705	13310
344	543	13278
345	517	13260
346	2287	13259
347	19202	13252
348	3327	13217
349	48	13146
350	13715	13126
351	11180	13109
352	5818	13080
353	2762	13067
354	1385	13054
355	3975	13040
356	2730	13036
357	6067	13036
358	3253	12996
359	11732	12974
360	7661	12965
361	6130	12943
362	1996	12920
363	316	12848
364	2821	12846
365	4614	12788
366	6270	12657
367	4719	12656
368	16308	12651
369	839	12621
370	509	12544
371	73	12544
372	3078	12509
373	11266	12507
374	6100	12490
375	3129	12476
376	4619	12474
377	3027	12469
378	1551	12448
379	20895	12406
380	501	12362
381	1687	12348
382	86	12305
383	3008	12267
384	6375	12248
385	200	12245
386	991	12243
387	5378	12241
388	8671	12235
389	229	12168
390	220	12166
391	2072	12150
392	198	12139
393	4692	12117
394	207	12092
395	9178	12080
396	5821	12037
397	3085	12024
398	2673	11991
399	6205	11983
400	7833	11960
401	4609	11959
402	2508	11888
403	2585	11882
404	3263	11869
405	9868	11845
406	12187	11828
407	3841	11814
408	17414	11804
409	2588	11799
410	354	11777
411	5396	11773
412	2771	11765
413	521	11753
414	15830	11749
415	8821	11731
416	14208	11697
417	5974	11683
418	6014	11670
419	3106	11613
420	3415	11593
421	4343	11580
422	13285	11575
423	1421	11527
424	4168	11501
425	3079	11408
426	1711	11403
427	111	11403
428	14783	11376
429	1650	11376
430	11135	11325
431	2907	11302
432	3120	11266
433	2789	11260
434	7644	11244
435	2325	11239
436	9466	11192
437	11237	11185
438	4624	11153
439	4166	11148
440	429	11142
441	1804	11130
442	16269	11091
443	2782	11066
444	5701	11048
445	2933	11044
446	810	11034
447	16295	11024
448	3960	11017
449	9766	10971
450	436	10971
451	3544	10954
452	2788	10928
453	131	10924
454	6278	10811
455	8853	10752
456	7492	10730
457	530	10730
458	1605	10708
459	872	10682
460	8443	10592
461	4681	10590
462	679	10581
463	407	10577
464	14726	10512
465	273	10509
466	3311	10509
467	15053	10475
468	192	10461
469	15483	10460
470	2729	10460
471	5778	10440
472	14305	10434
473	6545	10423
474	4780	10403
475	6199	10402
476	1991	10356
477	8010	10297
478	475	10282
479	2954	10273
480	4600	10266
481	3089	10252
482	2567	10251
483	16289	10225
484	276	10217
485	336	10199
486	2436	10198
487	3010	10194
488	16053	10192
489	5046	10190
490	3424	10174
491	1626	10169
492	3091	10158
493	3149	10156
494	2559	10123
495	5349	10122
496	177	10117
497	5254	10116
498	3138	10082
499	12808	10079
500	17316	10073
501	15003	10052
502	3784	10049
503	3731	10046
504	7334	10041
505	1704	10015
506	3590	10008
507	106	10008
508	14795	10005
509	409	9998
510	10523	9993
511	2029	9988
512	13187	9987
513	3599	9960
514	1978	9958
515	2991	9929
516	2708	9923
517	12959	9911
518	5397	9891
519	7255	9865
520	4249	9862
521	1792	9844
522	4567	9839
523	2974	9793
524	7317	9787
525	4596	9766
526	6263	9765
527	8389	9754
528	8233	9714
529	4006	9666
530	7952	9643
531	2706	9635
532	97	9627
533	12	9601
534	466	9587
535	146	9583
536	2584	9499
537	9529	9479
538	7959	9474
539	1682	9429
540	3690	9422
541	8920	9408
542	5504	9401
543	549	9397
544	8919	9390
545	32732	9363
546	1690	9338
547	2807	9321
548	27720	9318
549	4748	9308
550	17503	9307
551	12141	9277
552	6108	9269
553	8132	9252
554	9313	9242
555	9642	9236
556	8731	9231
557	262	9168
558	2610	9158
559	7990	9156
560	15487	9155
561	4023	9127
562	9058	9127
563	8187	9122
564	9876	9091
565	8197	9088
566	4247	9083
567	697	9081
568	7505	9080
569	17	9080
570	4227	9074
571	3318	9067
572	4965	9063
573	10027	9049
574	4005	9040
575	678	9006
576	1312	8992
577	1074	8990
578	275	8981
579	16881	8962
580	10004	8949
581	1789	8948
582	16542	8934
583	6306	8932
584	16293	8932
585	14365	8867
586	34	8860
587	3722	8853
588	3716	8825
589	4082	8823
590	2711	8821
591	7295	8820
592	60	8812
593	14718	8798
594	6399	8796
595	9512	8794
596	2573	8787
597	8358	8785
598	380	8772
599	8988	8740
600	256	8718
601	9486	8715
602	3751	8710
603	1317	8709
604	10006	8702
605	23182	8688
606	578	8681
607	4455	8671
608	96	8650
609	2799	8645
610	3650	8595
611	9477	8571
612	19681	8548
613	481	8541
614	10324	8537
615	5045	8530
616	11179	8529
617	15437	8515
618	17349	8514
619	808	8513
620	11	8512
621	2748	8499
622	3004	8495
623	9481	8472
624	9915	8443
625	15154	8440
626	16574	8437
627	15749	8424
628	3254	8406
629	6261	8398
630	3750	8394
631	5569	8392
632	422	8377
633	973	8348
634	3895	8344
635	5465	8340
636	15155	8338
637	5884	8328
638	7337	8328
639	3241	8325
640	1046	8323
641	277	8295
642	127	8295
643	8030	8289
644	2968	8289
645	8139	8288
646	1130	8279
647	3734	8268
648	9511	8265
649	2828	8235
650	22976	8221
651	19	8221
652	8804	8177
653	15523	8176
654	2616	8173
655	3151	8161
656	1144	8143
657	9703	8134
658	1326	8132
659	29246	8109
660	15104	8086
661	2474	8082
662	2865	8062
663	2583	8049
664	20399	8044
665	1532	8025
666	7935	8021
667	9064	8016
668	17815	8005
669	149	7960
670	12189	7938
671	801	7936
672	4111	7934
673	7395	7925
674	6844	7907
675	15543	7902
676	84	7899
677	2967	7888
678	2426	7876
679	186	7872
680	10707	7867
681	11281	7863
682	5749	7858
683	9028	7853
684	6847	7832
685	1535	7831
686	8773	7807
687	2214	7797
688	4307	7791
689	12616	7785
690	1536	7774
691	7907	7773
692	9873	7747
693	3316	7746
694	3199	7745
695	513	7711
696	4564	7703
697	10046	7702
698	514	7695
699	7050	7693
700	9952	7670
701	476	7669
702	6776	7659
703	1969	7658
704	6173	7648
705	4603	7634
706	8889	7634
707	7330	7628
708	6379	7619
709	2648	7592
710	3349	7568
711	3670	7567
712	10398	7558
713	2983	7557
714	66	7555
715	1325	7553
716	677	7547
717	7895	7545
718	4834	7537
719	6283	7526
720	3653	7519
721	155	7508
722	122	7484
723	1606	7483
724	2863	7481
725	15578	7475
726	11984	7457
727	9991	7449
728	2416	7438
729	13317	7431
730	10464	7425
731	5041	7423
732	5860	7422
733	3837	7414
734	6249	7395
735	1366	7394
736	10183	7392
737	4588	7392
738	3940	7386
739	5192	7385
740	6669	7380
741	5891	7375
742	282	7367
743	2355	7362
744	10522	7361
745	2253	7361
746	1990	7359
747	9660	7357
748	174	7352
749	2258	7336
750	39	7333
751	2999	7326
752	12239	7316
753	2731	7315
754	20810	7309
755	1701	7306
756	2209	7288
757	45840	7271
758	14134	7254
759	523	7254
760	82	7251
761	18458	7244
762	44	7240
763	14932	7238
764	4607	7234
765	15494	7228
766	2925	7222
767	3711	7217
768	1034	7217
769	1772	7208
770	11521	7194
771	502	7193
772	5697	7184
773	28577	7178
774	9847	7178
775	34583	7171
776	10582	7157
777	10724	7152
778	11224	7152
779	1826	7144
780	2301	7139
781	11033	7138
782	5945	7137
783	4475	7129
784	5304	7123
785	4038	7123
786	5527	7109
787	113	7107
788	8017	7103
789	22923	7096
790	9488	7095
791	4696	7089
792	138	7078
793	2425	7077
794	4586	7075
795	10338	7064
796	9650	7064
797	8186	7057
798	9	7056
799	15395	7027
800	2950	7021
801	8850	7018
802	35650	7014
803	3130	6998
804	2990	6988
805	3885	6988
806	9148	6988
807	16525	6987
808	217	6969
809	9496	6957
810	3055	6948
811	17443	6928
812	2836	6915
813	6795	6913
814	15910	6906
815	486	6899
816	319	6894
817	11759	6863
818	14082	6849
819	3973	6848
820	6111	6845
821	4366	6839
822	41087	6833
823	3729	6827
824	2093	6827
825	16078	6824
826	8597	6818
827	439	6817
828	23458	6815
829	5300	6806
830	473	6805
831	6561	6804
832	4196	6797
833	7339	6794
834	4056	6782
835	7256	6777
836	221	6769
837	5833	6751
838	7929	6751
839	16682	6747
840	26030	6720
841	1425	6718
842	10024	6712
843	8945	6711
844	9620	6706
845	128	6690
846	4556	6683
847	6047	6682
848	2200	6671
849	2362	6663
850	3139	6645
851	9535	6641
852	2869	6632
853	10617	6627
854	3007	6626
855	10589	6625
856	196	6620
857	3128	6614
858	208	6612
859	2691	6610
860	11084	6583
861	12381	6577
862	13500	6576
863	223	6551
864	16421	6550
865	3096	6543
866	26844	6536
867	41694	6520
868	11249	6510
869	46786	6506
870	14784	6502
871	4843	6500
872	3122	6491
873	2506	6487
874	150	6487
875	24292	6485
876	1354	6478
877	10537	6461
878	2656	6448
879	4122	6445
880	13099	6444
881	20934	6443
882	494	6430
883	5190	6424
884	12603	6422
885	526	6417
886	8933	6409
887	9037	6406
888	3767	6398
889	5174	6398
890	4942	6398
891	13697	6381
892	10395	6377
893	17811	6371
894	280	6370
895	13042	6362
896	13066	6361
897	495	6350
898	3912	6345
899	1285	6334
900	8808	6328
901	4011	6325
902	4546	6324
903	17421	6316
904	11058	6313
905	6822	6310
906	2952	6292
907	10711	6291
908	13917	6290
909	3565	6288
910	5255	6287
911	10704	6282
912	3312	6271
913	3695	6270
914	2613	6259
915	5137	6249
916	7488	6243
917	304	6243
918	40947	6234
919	29203	6230
920	10179	6225
921	3098	6223
922	5305	6204
923	5476	6199
924	5700	6198
925	18168	6189
926	10094	6187
927	15594	6187
928	15192	6176
929	4193	6175
930	3616	6170
931	7600	6165
932	3370	6164
933	9693	6160
934	130	6159
935	7058	6153
936	210	6151
937	14806	6146
938	17037	6140
939	1324	6137
940	17148	6130
941	2846	6127
942	29089	6125
943	15248	6121
944	14073	6119
945	8530	6116
946	5718	6104
947	2874	6099
948	5383	6096
949	16258	6088
950	2751	6087
951	4310	6083
952	12718	6082
953	14138	6075
954	15624	6068
955	3659	6067
956	5717	6065
957	16452	6057
958	9986	6051
959	19437	6048
960	6031	6044
961	2000	6017
962	32793	6015
963	16428	6009
964	15334	6007
965	15949	6002
966	2827	5998
967	3087	5993
968	5307	5993
969	4752	5986
970	36197	5984
971	20031	5971
972	110	5970
973	6262	5967
974	9557	5965
975	2481	5959
976	6393	5950
977	15557	5944
978	6546	5943
979	15770	5940
980	10330	5934
981	3387	5929
982	770	5928
983	167	5927
984	1453	5922
985	9539	5917
986	3852	5913
987	3721	5903
988	4721	5899
989	11285	5897
990	2173	5885
991	16268	5878
992	13449	5871
993	765	5871
994	3782	5858
995	5571	5842
996	474	5834
997	2837	5817
998	10072	5816
999	9959	5816
1000	30627	5815
1001	212	5810
1002	7031	5806
1003	4842	5801
1004	1767	5797
1005	18224	5791
1006	2878	5786
1007	67086	5784
1008	15098	5783
1009	5720	5779
1010	13197	5777
1011	3818	5774
1012	16825	5773
1013	4684	5773
1014	6443	5766
1015	6040	5766
1016	6334	5762
1017	13556	5750
1018	6349	5737
1019	7040	5729
1020	2112	5724
1021	27748	5718
1022	4459	5716
1023	11056	5710
1024	2908	5705
1025	9347	5704
1026	18576	5704
1027	8362	5700
1028	4313	5692
1029	2555	5690
