,Tag,count
444833,under 2000 listeners,129854
213292,electronic,74746
381728,rock,68672
9405,All,62214
268770,indie,46880
359855,pop,46307
134849,alternative,46227
221231,experimental,40660
213823,electronica,32528
136010,ambient,31785
411337,spotify,31106
314493,metal,30693
226557,female vocalists,30512
136635,american,30267
369690,punk,29495
230241,folk,27285
277849,jazz,27195
191632,dance,27146
254153,hardcore,26912
52833,Hip-Hop,25059
271395,instrumental,23587
53683,House,22209
306953,male vocalists,21743
135164,alternative rock,21693
269350,indie rock,20941
212314,electro,20937
424082,techno,20036
374215,rap,19759
177121,chillout,19280
368192,psychedelic,19150
437832,trance,18780
399986,singer-songwriter,18609
259278,hip hop,17613
119286,USA,17157
264,00s,16273
370073,punk rock,16164
166461,british,15650
407264,soul,15230
105810,Soundtrack,15141
129077,acoustic,15038
236972,funk,14785
241645,german,14504
253957,hard rock,14444
393205,seen live,14356
5128,80s,13543
195556,death metal,13515
5778,90s,13168
269259,indie pop,12861
270100,industrial,12470
276843,japanese,12451
159408,black metal,12206
205161,downtempo,12045
91532,Progressive,12016
161466,blues,11867
317885,minimal,11568
26112,Classical,11545
91690,Progressive rock,11489
336967,noise,11320
226529,female vocalist,11022
256797,heavy metal,10818
459593,world,10731
314996,metalcore,10132
215352,emo,10061
266470,idm,9975
35364,Drum and bass,9965
296476,lesser known yet streamable artists,9834
362965,post-punk,9796
333439,new wave,9686
377385,reggae,9629
119006,UK,9561
180355,classic rock,9377
363037,post-rock,9334
13619,Avant-Garde,9160
254416,hardcore punk,8902
233818,french,8880
207620,dubstep,8770
301995,lounge,8651
355260,piano,8571
360370,pop rock,8373
381120,rnb,8282
251059,guitar,8206
386140,russian,8199
362690,post-hardcore,8172
69118,Lo-Fi,7914
176781,chill,7857
439456,trip-hop,7757
420976,synthpop,7733
13764,Awesome,7720
207284,dub,7690
419010,swedish,7617
433010,thrash metal,7534
4585,70s,7423
4166,60s,7367
192938,dark ambient,7364
145097,atmospheric,7321
91677,Progressive metal,7305
225828,female,7268
181486,club,6957
445147,underground hip-hop,6897
92105,Psychedelic Rock,6859
186124,country,6648
242122,germany,6619
358585,polish,6473
344665,oldies,6401
53268,Home collection,6381
294005,latin,6343
224983,favorites,6341
360309,pop punk,6316
81131,Need to Rate,6306
249635,grindcore,6277
33697,Disco,6247
69902,Love,6154
366762,progressive trance,6151
153490,beautiful,6135
206314,drone,6086
273915,italian,6076
22935,Canadian,6066
44888,Fusion,5992
209850,easy listening,5990
259853,hiphop,5948
400723,ska,5850
48220,Gothic,5826
392150,screamo,5818
216403,english,5815
124482,World Music,5758
397632,shoegaze,5714
183568,composer,5618
91585,Progressive House,5603
178325,christian,5567
196456,deep house,5542
45924,Garage Rock,5522
409746,spanish,5488
230613,folk rock,5453
395650,sexy,5336
214056,electropop,5327
204309,doom metal,5293
369203,psytrance,5243
74775,Mellow,5211
445061,underground,5157
228302,finnish,5100
203005,dnb,5080
239481,garage,5009
332600,new age,4970
165045,brazilian,4887
165493,breakbeat,4866
423733,tech house,4863
146203,australian,4796
318109,minimal techno,4784
192897,dark,4779
198777,deutsch,4702
451571,vocal,4669
21168,Brutal Death Metal,4587
135080,alternative metal,4558
151976,bass,4553
74851,Melodic Death Metal,4548
276745,japan,4429
193876,darkwave,4418
237300,funky,4416
249947,groove,4364
22722,California,4361
35370,Drum n Bass,4354
97140,Rock and Roll,4321
306945,male vocalist,4257
195846,deathcore,4223
244144,glitch,4207
372509,r&amp;b,4176
137040,americana,4152
90947,Power metal,4140
161625,blues rock,4135
208315,dutch,4125
275287,j-pop,4109
205698,dream pop,4099
232522,france,4097
226614,female vocals,4076
383146,rockabilly,4050
210102,ebm,4016
362288,post rock,4009
128845,acid jazz,3998
183063,comedy,3965
312892,melodic,3963
382538,rock n roll,3924
750,10s,3901
333664,new york,3893
445203,underground rap,3891
206239,drjazzmrfunkmusic,3865
119977,United States,3850
175720,check out,3840
337173,noise rock,3835
450069,video game music,3819
313135,melodic hardcore,3805
139338,anime,3795
363752,power pop,3774
109066,Sweden,3768
107646,Stoner Rock,3714
420694,synth,3710
153382,beats,3680
212575,electro house,3669
362088,post hardcore,3646
420768,synth pop,3624
49345,Grunge,3592
83866,Nu Metal,3558
184779,cool,3552
236724,fun,3512
184429,contemporary classical,3510
104421,Sludge,3490
216385,england,3476
147224,avantgarde,3459
202121,dj,3396
340989,nu jazz,3388
48267,Gothic Rock,3376
379763,rhythm and blues,3363
58065,J-rock,3362
218705,ethereal,3324
9720,Alt-country,3322
180150,classic,3318
432951,thrash,3310
90711,Post punk,3306
171111,canada,3294
164990,brazil,3257
41782,Female Voices,3205
283061,jungle,3168
135726,amazing,3164
90329,Pop-Rock,3164
164763,brasil,3134
269045,indie folk,3124
12740,Asian,3122
313193,melodic metal,3108
359083,political,3102
218819,ethnic,3100
451768,vocal trance,3097
34591,Doom,3096
338592,norwegian,3064
312391,melancholic,3049
219489,eurodance,3037
344102,old school,3034
347967,ost,3027
226510,female vocal,3025
165639,breaks,3005
215629,emocore,3001
219561,european,2964
41392,Favorite,2939
166781,britpop,2933
48253,Gothic Metal,2931
324261,music,2924
40037,Experimental Rock,2920
57765,Italy,2906
413791,stoner,2884
142716,art rock,2884
378133,relaxing,2868
183582,composers,2866
28238,Crust,2825
188253,crossover,2819
246846,goth,2812
378407,remix,2797
439402,trip hop,2793
331673,neoclassical,2769
419763,swing,2766
174022,celtic,2716
405020,soft rock,2684
368577,psychedelic trance,2664
90344,Pop-punk,2656
41793,Female fronted metal,2650
58376,JPop,2646
306779,male,2645
378074,relax,2612
192048,dancehall,2606
165528,breakcore,2596
437467,traditional,2593
384177,romantic,2585
128261,abstract,2580
35148,Dreamy,2575
390613,scandinavian,2559
269804,indietronica,2552
246598,gospel,2534
445142,underground hip hop,2529
244739,goa,2512
104593,Smooth Jazz,2511
193157,dark electro,2511
216964,epic,2499
445278,underrated,2498
299146,live,2479
79538,Myjukebox,2465
446547,uplifting trance,2437
278134,jazz fusion,2428
270308,industrial metal,2427
351264,party,2404
272870,irish,2397
310093,math rock,2391
176867,chill out,2379
45604,Gabber,2366
375385,raw black metal,2357
446686,urban,2356
94737,Rave,2355
410431,speed metal,2341
233388,free jazz,2336
312469,melancholy,2323
300641,london,2321
363951,powerpop,2318
409401,space rock,2310
250101,groovy,2303
237566,funny,2298
420462,symphonic metal,2274
108815,Surf,2216
254743,hardstyle,2214
83900,Nu-Bluz Funky Grooves in the E-Lounge,2172
105844,Soundtracks,2165
145120,atmospheric black metal,2154
196332,deep,2145
346963,orchestral,2135
271517,instrumental hip-hop,2131
341153,nu-jazz,2130
5046,80's,2124
245537,good,2119
98457,Russia,2115
111294,Technical Death Metal,2092
130616,african,2091
3918,50s,2078
241062,genius,2075
45862,Gangsta Rap,2073
90762,Post-Metal,2057
84807,Oi,2051
144000,asciiecho,2046
7653,Acid,2032
146195,australia,2026
331742,neofolk,2022
83928,Nu-metal,2009
374683,rapcore,2000
411144,spoken word,1992
409660,spain,1991
49093,Grind,1990
301323,los angeles,1982
184485,contemporary jazz,1978
177582,chiptune,1976
154506,belgian,1974
49077,Grime,1966
176246,chicago,1959
332175,netherlands,1959
459673,world fusion,1951
384593,roots,1934
16641,Belgium,1929
83446,Norway,1928
430945,the vitamin b12,1922
206858,drum'n'bass,1919
39547,Eurovision,1917
246448,goregrind,1911
37602,Electroclash,1908
239069,game,1888
318187,minimalism,1883
390417,saxophone,1877
225028,favourite,1876
41503,Favourites,1871
358465,poland,1862
228263,finland,1860
178651,christian rock,1852
4954,8-bit,1840
68237,Library,1835
186495,cover,1825
312934,melodic black metal,1821
442228,twee,1821
95899,Retro,1813
243871,glam rock,1809
413862,stoner metal,1806
226026,female fronted,1792
15229,Ballad,1791
310142,mathcore,1786
403697,smooth,1786
230516,folk metal,1782
423795,tech-house,1782
19848,Bossa Nova,1780
298456,liquid funk,1761
213798,electronic-lounge,1760
357969,podcast,1758
3983,5432fun,1751
403014,sludge metal,1748
192430,danish,1745
400828,ska punk,1744
253458,happy,1740
313197,melodic metalcore,1733
2032,2000s,1728
319930,modern classical,1724
