	artist_id
1602	137670
368	121846
55	121455
320	100264
54	97870
301	95101
46	94303
153	93761
4115	87974
283	85860
27	82192
470	81455
1339	80064
135	70971
171	70578
402	70219
172	67549
32	67521
1648	66870
3	66765
137	66222
289	65706
99	60412
71	59785
85	59084
2758	58764
4081	58106
249	58091
504	57664
8	57635
1	57430
691	55961
245	55727
438	55634
471	55268
362	54576
461	53397
43	52005
1677	51887
924	51882
140	51513
2353	50494
330	50465
7	49520
6395	49373
139	48900
141	48746
425	48627
1514	48462
185	48190
5619	48095
1092	47692
266	47628
279	47498
129	47274
499	46904
3026	46638
295	46541
379	45013
93	44082
689	43842
57	43143
355	43137
1705	43022
353	42432
5608	41835
1696	41658
1426	41607
227	41418
4112	41215
6852	41127
248	40874
1358	40527
25	40291
16	40245
4207	40230
1651	39069
1793	38765
2267	38349
52	38269
4206	37923
67	37893
13	37691
182	37609
9718	37333
7403	36970
2923	36856
56	36430
238	35707
2539	35486
145	35382
7904	35294
365	35084
406	35003
132	35003
79	34722
2988	34082
424	33688
4083	33599
8040	33497
290	33313
3732	33295
384	33169
405	33027
4	33003
2442	32574
3915	32530
4091	32431
6004	31827
163	31781
360	31521
166	30986
59	30847
1680	30791
1703	30775
374	30670
3137	30625
4175	30549
2824	30546
1666	30502
2492	30354
2558	30329
2478	30295
3019	30108
4482	30094
1763	29861
2694	29640
1483	29628
51	29302
326	29188
347	29175
686	29120
5215	29107
28	29053
2266	28985
14528	28830
1935	28647
1807	28643
3916	28429
2487	28228
3909	28005
4672	27986
2570	27878
2549	27863
13715	27775
114	27492
33	27393
2590	27382
1871	27380
350	27260
29	27164
10028	27157
4726	26943
3954	26922
4171	26914
1671	26599
4117	26481
1996	26429
2596	26416
1998	26309
1958	26231
6766	25823
184	25545
16900	25533
429	25458
2986	25395
3744	25375
8891	25328
105	25320
840	25222
383	25114
9557	25078
421	25055
1894	24847
508	24689
6872	24672
8852	24619
3031	24435
2563	24429
3113	24386
2437	24017
203	23941
3044	23822
1873	23723
2354	23723
5818	23637
3960	23506
2821	23480
9716	23336
3059	23301
148	23281
89	23261
8853	23239
3013	23141
64	23113
4118	23107
169	23083
4126	23062
520	22938
467	22920
1900	22897
3727	22848
361	22804
8039	22785
45	22766
14088	22763
14596	22756
329	22730
36	22660
872	22504
4035	22385
194	22226
9637	22088
2554	21970
3724	21915
8890	21872
4134	21846
3095	21791
7644	21743
3327	21673
3085	21552
1760	21548
13719	21412
445	21313
278	21266
2029	21240
240	21215
6234	21199
4558	21142
38	21136
2937	21112
13243	21061
9178	21002
2562	20883
2733	20763
417	20719
3975	20703
3895	20642
676	20634
259	20552
453	20546
2768	20535
308	20480
8696	20314
3966	20287
2030	20120
6773	20106
37	20087
69	20034
5842	20004
416	19923
9529	19906
115	19894
146	19882
489	19875
4370	19864
1650	19825
15830	19756
2111	19690
482	19622
16888	19543
3311	19534
6205	19527
548	19513
281	19470
2603	19468
722	19387
4005	19271
3263	19260
2822	19219
5378	19028
12	18955
7334	18906
6183	18841
4398	18773
4250	18761
6779	18722
578	18508
13285	18487
515	18481
29089	18461
272	18460
243	18419
14718	18359
2868	18250
2866	18219
1700	18127
7395	18001
1268	17970
1825	17941
1664	17927
2073	17897
3661	17889
1046	17884
4166	17880
229	17717
1459	17676
513	17670
3129	17627
5175	17625
3415	17599
1708	17480
5396	17460
1915	17431
2123	17405
3131	17321
8314	17304
9701	17301
262	17274
316	17268
432	17244
6256	17227
1385	17223
19202	17178
9064	17147
2762	17084
543	17076
314	16990
2729	16953
8443	16883
1607	16881
6014	16838
269	16832
3887	16739
1535	16733
4681	16717
8358	16693
